Id,ABOTT_INDIA,ACC,AJANTA_PHARMA,AMBUJA_CEMENT,APPOLO_HOSPITAL_ENTERPRISE,ASHOK_LEYLAND,ASIAN_PAINTS,AUROBINDO_PHARMA,AVENUES_APARTMENT,AXIS_BANK,NCL,NESTLE_INDIA,NIIT,NTPC,RBL_BANK,RCOM,ROYAL_ORCHID_HOTELS,BAJAJ_AUTO,BOSCH,AIRTEL
1,0.0083938756,0.0036997021,0.0010125914,0.0149967398,-0.003934323,0.052748227,-0.0072844024,0.01097139,0.0093783089,-0.0094528268,0.0113602392,0.0254384466,-0.0188383046,0.0012890751,-0.0094002959,0.027835769,0.0009290802,-0.0055726293,0.0077033321,-0.0180445354
2,-0.0079818228,0.0140438247,0.0059344553,0.0141062376,0.0215969989,-0.000443066,0.0122309198,-0.0175773153,0.0377358491,-0.0322807635,-0.0091824645,0.0404696194,0.0010476689,-0.0044914982,0.0202468697,0.0382947977,-0.0277024992,0.011896064,0.0041158672,0.0197050763
3,0.0068434335,-0.018284932,0.0329841255,0.0088948188,-0.0008032129,0,-0.0017094017,0.0200439783,0.0159150348,0.0267316897,-0.0058892815,-0.0163610404,0.0047368421,0.0077594568,-0.0121929825,-0.0114285714,0.0259499537,-0.0033979948,-0.0008530523,0.0513101934
4,0.0016019854,0.0061653494,0.0526341135,0.004691689,-0.003415337,0.0080393033,0.0005235602,0.0123287671,0.0058385731,0.0221545278,0.0619136961,-0.0021564152,-0.0150336962,0.0078201369,0.0033444816,0.0137581463,0.0009276438,0.0224491744,0.00000537,0.019155481
5,0.0361081066,0.0377769459,0.0068363636,0.0682577566,-0.0048327138,0.0163413527,-0.0122733228,-0.001965308,-0.0037074917,0.018426248,0.0072440945,0.0047226996,-0.013803681,0.0165617754,-0.0028084957,-0.0050432277,0.0034129693,-0.0074086706,-0.0201295885,0.0163421913
6,0.0112334044,-0.0027829628,0.0042360502,-0.0150446638,0.0011164868,-0.023059867,-0.0111815641,-0.0131545662,-0.0060991105,-0.0259157509,-0.0215716487,-0.0027771978,0.0092879257,-0.040063593,-0.001227209,0.0168498168,0.0028002489,-0.0045269353,0.0176249044,-0.0127665544
7,-0.0302913062,0.1286245068,-0.0138762184,0.0745137661,-0.0127027453,0.0344036697,0.0230173677,0.006535393,0.0268119251,0.0096153846,0.0959135427,-0.0112858473,0.0625,-0.0056907999,0.0014044944,0.0317460317,0.0190234623,-0.0142426834,0.0397318945,-0.0033557047
8,0.025972515,0.0100201176,0.0229873766,0.019047619,0.0238069647,0.0144253141,0.0263440475,0.0121123615,0.0106477666,0.0118813734,0.0396769663,0.0062408826,0.0044052863,0.0183515776,-0.012482663,0.0200462606,0.0875862069,-0.0535004048,0.0234980999,0.0348719433
9,0.0042060699,0.014084507,0.048676213,0.0062160062,-0.025810167,0.0146364495,-0.0018221444,0.0228450927,-0.0039075327,0.0135596435,-0.0104239055,0.0062213841,0.0072102052,0.0051779935,0.0375966901,0.0156617071,0.0229276896,-0.0872847597,-0.0043306607,0.0014490654
10,0.013322562,-0.0144989174,-0.0166641341,-0.0137931034,-0.0154123711,-0.0424954792,0.0057855397,-0.0129228101,-0.0182779407,0.0059137734,-0.0625407166,-0.0117347551,0.0033388982,-0.003868472,-0.0160191167,-0.0237003058,-0.055,0.002495934,0.0024177373,0.0244952494
11,0.0208011943,0.0041542105,-0.0080888264,0.0005111168,-0.0083827438,-0.1392996109,0.009797518,-0.0147825344,-0.0070102433,-0.0257411021,-0.0115904701,-0.0116221105,-0.0456718003,-0.0016092694,0.0131814921,0,-0.0272373541,0.0031661417,0.0081140144,-0.0159240321
12,-0.0060626188,0.014934195,0.0262967928,0.0267646287,0.0367230141,0.0218687873,0.0142058001,0.0224532588,0.0071571346,0.0285796215,0.0196979645,0.0314478652,-0.0031762837,-0.0022479127,0.0139103555,0.0872817955,-0.0029097963,-0.0020955912,0.0019456425,-0.0114095898
13,-0.0034363535,-0.0501890041,-0.0556096611,-0.0334770479,-0.0325540859,-0.0534437335,-0.007234198,-0.0507546857,-0.0149576042,-0.001527009,-0.0616142945,0.0058862356,-0.030785018,0.0196463654,-0.0359365413,-0.0746153846,-0.0435992579,-0.0102903638,-0.0123235994,-0.0330959363
14,-0.0067424375,-0.009783938,0.0064199951,-0.0242514229,-0.0241632898,-0.0078416729,0.0082888193,-0.0057717678,-0.0070946585,-0.0248487669,-0.0339285714,0.0127708824,-0.0220772704,-0.007797271,-0.0095494401,-0.037037037,0.0003093102,0.0103484961,0.0102074708,-0.0103648425
15,0.0125779928,-0.0084882781,-0.0196973337,-0.0019757965,0.0020553439,0.0048780488,-0.0007730251,-0.0062274664,-0.0049573293,0.0012113306,0.0074962519,-0.014168597,-0.0128776622,0.0071989529,-0.0050099335,-0.0102639296,-0.0170264518,-0.0166278314,-0.0099163151,-0.0002763194
16,-0.002810794,-0.0078745899,-0.0003841906,-0.0080842724,-0.0112025379,-0.0048543689,-0.0081419548,-0.0114216282,-0.0013160368,0.0076049197,0.0054265903,0.0156591842,-0.0044378698,-0.0068248294,-0.001810657,-0.0236220472,-0.0272108844,0.0211391852,-0.0103606447,-0.0148359875
17,-0.0101226887,-0.0031979068,0.0148649966,-0.0111434109,0.00814552,0.0229182582,0.0039956012,-0.0094680254,0.0201706997,0.0169960852,0.0174846626,0.0106516164,0.0579029734,0.0181998676,0.0024200519,0.0211988304,0.0695982284,0.0235590384,-0.0078051713,0.0160420412
18,-0.000803297,0.001783829,0.0164470425,-0.0045816253,-0.0101894445,-0.0105820106,0.0311460538,0.0093132491,-0.0033452275,0.0182790472,0.0685021304,-0.00443274,0.0469688695,0.0056572379,0.0278962331,0.0081061164,-0.0137285491,-0.0017860982,0.0120944568,-0.0008290728
