Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
31-July-2018,3.46,3.46,3.46,3.46,3.460000000000000000,400,1,1384.00,400,100.00,0.00,0.00
30-July-2018,3.30,3.30,3.30,3.30,3.299818840579710144,3312,8,10929.00,3312,100.00,0.00,0.00
27-July-2018,3.00,3.15,3.00,3.15,3.065168539325842696,890,8,2728.00,890,100.00,0.15,0.15
16-April-2018,3.14,3.14,3.14,3.14,3.139946380697050938,5595,2,17568.00,5595,100.00,0.00,0.00
13-April-2018,3.14,3.14,3.14,3.14,3.139473684210526315,760,4,2386.00,760,100.00,0.00,0.00
12-April-2018,3.30,3.30,3.30,3.30,3.300000000000000000,1000,1,3300.00,1000,100.00,0.00,0.00
20-February-2018,3.36,3.36,3.36,3.36,3.359892224788298691,2598,1,8729.00,2598,100.00,0.00,0.00
19-February-2018,3.20,3.20,3.20,3.20,3.200000000000000000,4140,3,13248.00,4140,100.00,0.00,0.00
16-February-2018,3.05,3.05,3.05,3.05,3.049865229110512129,3710,8,11315.00,3710,100.00,0.00,0.00
15-February-2018,2.91,2.91,2.91,2.91,2.910000000000000000,2000,9,5820.00,2000,100.00,0.00,0.00
8-February-2018,2.78,2.78,2.78,2.78,2.780000000000000000,1000,1,2780.00,1000,100.00,0.00,0.00
7-February-2018,2.65,2.65,2.65,2.65,2.650000000000000000,100,1,265.00,100,100.00,0.00,0.00
5-February-2018,2.66,2.66,2.66,2.66,2.659992584352984797,2697,6,7174.00,2697,100.00,0.00,0.00
2-February-2018,2.79,2.79,2.66,2.79,2.786875000000000000,3200,6,8918.00,3200,100.00,0.13,0.00
25-January-2018,2.66,2.66,2.66,2.66,2.636363636363636363,33,1,87.00,33,100.00,0.00,0.00
24-January-2018,2.66,2.66,2.66,2.66,2.650000000000000000,40,1,106.00,40,100.00,0.00,0.00
23-January-2018,2.66,2.66,2.66,2.66,2.658333333333333333,120,2,319.00,120,100.00,0.00,0.00
17-January-2018,2.66,2.66,2.66,2.66,2.660000000000000000,300,2,798.00,300,100.00,0.00,0.00
16-January-2018,2.66,2.66,2.66,2.66,2.659405940594059405,1010,3,2686.00,1010,100.00,0.00,0.00
15-January-2018,2.66,2.66,2.66,2.66,2.660000000000000000,700,2,1862.00,700,100.00,0.00,0.00
11-January-2018,2.66,2.66,2.66,2.66,2.660000000000000000,200,2,532.00,200,100.00,0.00,0.00
10-January-2018,2.66,2.66,2.66,2.66,2.650000000000000000,20,1,53.00,20,100.00,0.00,0.00
9-January-2018,2.66,2.66,2.66,2.66,2.000000000000000000,1,1,2.00,1,100.00,0.00,0.00
8-January-2018,2.66,2.66,2.66,2.66,2.660000000000000000,1000,2,2660.00,1000,100.00,0.00,0.00
5-January-2018,2.65,2.66,2.65,2.66,2.650900900900900900,2220,4,5885.00,2220,100.00,0.01,0.01
