Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
31-July-2018,14.70,14.70,13.00,13.00,14.382113821138211382,123,3,1769.00,123,100.00,1.70,-1.70
30-July-2018,13.25,13.25,13.25,13.25,13.000000000000000000,1,1,13.00,1,100.00,0.00,0.00
27-July-2018,13.80,15.40,13.80,15.40,13.823529411764705882,68,2,940.00,68,100.00,1.60,1.60
26-July-2018,16.45,16.45,13.25,13.60,13.542079207920792079,404,11,5471.00,208,51.49,3.20,-2.85
25-July-2018,14.95,14.95,12.85,14.75,14.830860534124629080,337,9,4998.00,227,67.36,2.10,-0.20
24-July-2018,14.15,14.15,12.75,12.80,13.457272727272727272,1100,5,14803.00,200,18.18,1.40,-1.35
23-July-2018,12.30,14.50,10.50,12.05,11.970414201183431952,676,10,8092.00,669,98.96,4.00,-0.25
20-July-2018,13.05,13.05,13.05,13.05,13.027777777777777777,36,1,469.00,36,100.00,0.00,0.00
19-July-2018,13.75,13.85,12.15,13.75,13.750000000000000000,468,10,6435.00,465,99.36,1.70,0.00
18-July-2018,13.85,15.65,13.85,13.90,14.477768795472918350,1237,20,17909.00,724,58.53,1.80,0.05
17-July-2018,14.05,16.05,13.80,13.80,14.711287313432835820,4288,41,63082.00,1370,31.95,2.25,-0.25
16-July-2018,15.00,16.00,14.05,15.45,15.120087336244541484,2290,23,34625.00,1394,60.87,1.95,0.45
13-July-2018,13.75,13.75,13.75,13.75,13.740000000000000000,50,1,687.00,50,100.00,0.00,0.00
12-July-2018,14.35,14.35,13.75,13.75,14.287735849056603773,636,8,9087.00,621,97.64,0.60,-0.60
11-July-2018,15.50,15.50,14.60,14.60,14.726833199033037872,1241,14,18276.00,711,57.29,0.90,-0.90
10-July-2018,14.65,15.45,14.60,14.60,14.651404786680541103,1922,13,28160.00,1001,52.08,0.85,-0.05
9-July-2018,16.95,16.95,12.10,15.90,16.162280701754385964,684,12,11055.00,480,70.18,4.85,-1.05
6-July-2018,18.70,18.70,13.75,14.50,14.365400544314282333,8451,59,121402.00,5878,69.55,4.95,-4.20
5-July-2018,18.90,18.90,13.05,15.70,15.595041322314049586,484,20,7548.00,244,50.41,5.85,-3.20
4-July-2018,14.20,15.85,14.20,15.75,15.658914728682170542,1677,16,26260.00,573,34.17,1.65,1.55
3-July-2018,18.95,18.95,15.10,16.20,16.167144221585482330,1047,25,16927.00,36,3.44,3.85,-2.75
2-July-2018,14.00,18.80,14.00,16.45,16.221900826446280991,2420,26,39257.00,439,18.14,4.80,2.45
29-June-2018,19.50,19.50,14.05,16.50,17.241370808678500986,4056,31,69931.00,2258,55.67,5.45,-3.00
28-June-2018,14.85,17.60,13.90,17.00,15.701776198934280639,5630,39,88401.00,3990,70.87,3.70,2.15
27-June-2018,16.50,16.85,13.55,15.45,15.994112030553787396,6284,37,100507.00,3941,62.71,3.30,-1.05
26-June-2018,16.45,16.45,13.70,14.15,14.399768696993060909,2594,19,37353.00,2302,88.74,2.75,-2.30
25-June-2018,15.60,16.40,15.60,16.40,16.000000000000000000,6,2,96.00,3,50.00,0.80,0.80
22-June-2018,17.00,17.95,13.55,14.90,14.490445293751666518,11251,48,163032.00,7339,65.23,4.40,-2.10
21-June-2018,18.15,18.15,15.00,15.75,15.798977853492333901,8805,23,139110.00,8549,97.09,3.15,-2.40
20-June-2018,21.65,21.65,15.80,16.20,16.259940652818991097,1685,36,27398.00,1167,69.26,5.85,-5.45
19-June-2018,15.65,20.85,15.65,18.30,17.036858974358974358,624,14,10631.00,465,74.52,5.20,2.65
18-June-2018,19.75,19.75,17.30,18.15,18.039961941008563273,4204,23,75840.00,2802,66.65,2.45,-1.60
15-June-2018,18.00,20.90,17.30,18.60,18.440328603435399551,6695,72,123458.00,2936,43.85,3.60,0.60
14-June-2018,17.30,23.15,17.30,18.80,18.349561830574488802,2054,50,37690.00,1116,54.33,5.85,1.50
13-June-2018,19.30,20.50,16.00,19.50,18.739425981873111782,2648,47,49622.00,575,21.71,4.50,0.20
12-June-2018,21.00,21.40,15.30,19.30,19.291606886657101865,2788,47,53785.00,355,12.73,6.10,-1.70
11-June-2018,17.00,20.20,15.75,19.05,18.505185185185185185,2025,48,37473.00,823,40.64,4.45,2.05
8-June-2018,17.00,17.00,14.10,16.85,15.583126139565721863,6033,41,94013.00,2495,41.36,2.90,-0.15
7-June-2018,17.90,17.90,16.00,17.55,16.072072072072072072,2997,13,48168.00,2887,96.33,1.90,-0.35
6-June-2018,15.90,19.30,15.85,18.35,17.189180460234154218,12385,62,212888.00,2903,23.44,3.45,2.45
5-June-2018,16.10,17.70,16.05,17.55,16.611074918566775244,1535,11,25498.00,1034,67.36,1.65,1.45
4-June-2018,15.75,17.75,15.70,17.75,17.729372937293729372,303,4,5372.00,301,99.34,2.05,2.00
1-June-2018,18.85,18.85,15.70,17.25,18.082588011417697431,5255,20,95024.00,3227,61.41,3.15,-1.60
31-May-2018,17.25,17.25,15.80,17.25,15.942290351668169522,1109,3,17680.00,1109,100.00,1.45,0.00
30-May-2018,17.20,17.20,17.20,17.20,17.200000000000000000,50,1,860.00,50,100.00,0.00,0.00
29-May-2018,15.85,17.25,15.85,17.20,17.128443467973635288,5917,15,101349.00,5667,95.77,1.40,1.35
28-May-2018,16.90,17.25,15.50,17.25,17.011745739290649470,8684,13,147730.00,8683,99.99,1.75,0.35
25-May-2018,17.25,17.25,14.85,16.85,16.161870503597122302,2502,10,40437.00,1251,50.00,2.40,-0.40
24-May-2018,16.50,16.50,16.40,16.40,16.449174630755864465,1151,7,18933.00,1114,96.79,0.10,-0.10
23-May-2018,13.90,16.60,13.90,15.00,14.450547263681592039,5025,30,72614.00,2853,56.78,2.70,1.10
22-May-2018,17.00,17.00,15.40,15.40,15.819148936170212765,94,3,1487.00,94,100.00,1.60,-1.60
21-May-2018,17.00,17.00,17.00,17.00,17.000000000000000000,2,2,34.00,1,50.00,0.00,0.00
18-May-2018,17.50,17.50,16.00,16.00,17.436170212765957446,470,5,8195.00,470,100.00,1.50,-1.50
17-May-2018,17.50,18.95,15.75,17.20,18.242792109256449165,1318,23,24044.00,1021,77.47,3.20,-0.30
16-May-2018,15.30,17.25,15.30,17.25,16.987719298245614035,570,8,9683.00,470,82.46,1.95,1.95
15-May-2018,17.20,17.20,17.00,17.00,17.133333333333333333,30,2,514.00,30,100.00,0.20,-0.20
14-May-2018,17.20,18.00,15.65,15.70,17.002049180327868852,488,9,8297.00,432,88.52,2.35,-1.50
11-May-2018,15.30,17.20,15.30,17.10,16.893032786885245901,2440,15,41219.00,2108,86.39,1.90,1.80
10-May-2018,15.00,18.00,14.85,15.65,16.924016474932537991,7041,16,119162.00,4574,64.96,3.15,0.65
9-May-2018,15.10,16.50,15.10,16.50,16.113586956521739130,1840,13,29649.00,1840,100.00,1.40,1.40
8-May-2018,16.50,16.50,15.05,15.50,16.379903647625602202,1453,12,23800.00,1401,96.42,1.45,-1.00
7-May-2018,15.80,17.30,15.80,16.20,16.627819548872180451,1064,13,17692.00,705,66.26,1.50,0.40
4-May-2018,15.80,17.45,15.80,17.35,16.577422577422577422,1001,18,16594.00,900,89.91,1.65,1.55
3-May-2018,18.00,18.00,15.30,17.45,15.695652173913043478,667,4,10469.00,617,92.50,2.70,-0.55
2-May-2018,17.00,17.00,17.00,17.00,17.000000000000000000,6,1,102.00,6,100.00,0.00,0.00
