Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
1-August-2018,147.00,151.80,144.05,147.50,147.590619859932377706,3607686,3695,532460613.00,3265395,90.51,7.75,0.50
31-July-2018,148.00,149.70,146.00,146.80,147.815220547043357009,244551,2038,36148360.00,99916,40.86,3.70,-1.20
30-July-2018,143.90,148.30,142.90,147.15,146.521910372674918911,302140,2730,44270130.00,117693,38.95,5.40,3.25
27-July-2018,144.55,145.45,142.65,143.05,143.832520671305771592,305375,2653,43922856.00,140782,46.10,2.80,-1.50
26-July-2018,139.80,145.90,138.65,143.45,143.004459499749430668,472923,5333,67630098.00,144628,30.58,7.25,3.65
25-July-2018,140.25,143.10,138.70,139.10,141.098818082774162442,375407,5087,52969484.00,155886,41.52,4.40,-1.15
24-July-2018,130.10,140.50,130.10,139.75,137.137194575198132283,607801,5616,83352124.00,190743,31.38,10.40,9.65
23-July-2018,127.25,131.55,126.30,130.10,128.680073029072759502,244834,1982,31505257.00,124956,51.04,5.25,2.85
20-July-2018,127.80,127.80,125.20,126.80,126.284849889985998217,219972,1710,27779131.00,93587,42.54,2.60,-1.00
19-July-2018,125.00,126.80,123.65,125.70,125.202211177004940806,135403,1376,16952755.00,61878,45.70,3.15,0.70
18-July-2018,127.50,129.20,124.00,124.75,126.295429879432484164,202708,1955,25601094.00,102321,50.48,5.20,-2.75
17-July-2018,127.50,128.10,126.25,127.60,127.421479418136799752,113085,1163,14409458.00,61595,54.47,1.85,0.10
16-July-2018,130.05,130.55,126.60,127.20,128.380850908560169305,137030,1450,17592028.00,73614,53.72,3.95,-2.85
13-July-2018,131.00,131.65,129.60,130.10,130.293708684750398905,122836,1319,16004758.00,58787,47.86,2.05,-0.90
12-July-2018,131.70,132.45,130.10,130.60,131.099350066429674315,139245,1206,18254929.00,70259,50.46,2.35,-1.10
11-July-2018,130.10,133.80,130.10,130.60,131.373353348316140065,234491,1924,30805869.00,83284,35.52,3.70,0.50
10-July-2018,128.00,132.00,128.00,130.85,130.594746776893090706,187009,1835,24422393.00,75502,40.37,4.00,2.85
9-July-2018,128.00,129.50,128.00,128.25,128.526101168322599436,123596,1090,15885312.00,61152,49.48,1.50,0.25
6-July-2018,126.55,128.95,126.55,127.30,127.779453043547999037,149628,1283,19119384.00,75492,50.45,2.40,0.75
5-July-2018,129.25,129.50,127.00,127.25,128.049156459297534742,161403,1247,20667518.00,81481,50.48,2.50,-2.00
4-July-2018,128.40,129.90,128.25,129.10,128.851499985451159542,137468,1153,17712958.00,57778,42.03,1.65,0.70
3-July-2018,128.95,130.85,128.10,129.60,129.589930253224778506,111403,1002,14436707.00,42095,37.79,2.75,0.65
2-July-2018,134.10,134.10,129.00,129.65,130.090919895412407891,176694,1859,22986285.00,71726,40.59,5.10,-4.45
29-June-2018,128.50,133.60,128.50,133.00,132.083333736589709219,206651,1825,27295153.00,89956,43.53,5.10,4.50
28-June-2018,129.45,130.00,127.00,127.80,128.469487788177592504,331523,2335,42590590.00,145585,43.91,3.00,-1.65
27-June-2018,131.70,132.50,125.60,127.35,128.306899241180962903,369258,3329,47378349.00,164941,44.67,6.90,-4.35
26-June-2018,135.70,136.10,131.50,131.85,132.683458682181542973,274833,2875,36465793.00,136075,49.51,4.60,-3.85
25-June-2018,137.05,137.60,135.25,135.70,136.269045719856674390,157962,1649,21525331.00,70220,44.45,2.35,-1.35
22-June-2018,137.50,138.45,136.10,137.20,137.238135520316577294,209238,1776,28715433.00,83362,39.84,2.35,-0.30
21-June-2018,141.40,141.65,137.00,137.25,138.782950589767348676,239586,2050,33250452.00,115958,48.40,4.65,-4.15
20-June-2018,138.90,141.75,138.35,140.40,139.719477297809377777,204782,1398,28612034.00,89522,43.72,3.40,1.50
19-June-2018,138.25,141.30,138.15,138.90,139.120544912368048898,188801,1396,26266098.00,87619,46.41,3.15,0.65
18-June-2018,139.60,140.30,138.10,138.75,138.955415089606125721,183358,1248,25478587.00,88265,48.14,2.20,-0.85
15-June-2018,141.40,141.90,139.50,139.95,140.607438016528925619,133826,1300,18816931.00,65710,49.10,2.40,-1.45
14-June-2018,140.50,141.90,139.80,140.85,140.655739708071360334,270066,2037,37986333.00,117232,43.41,2.10,0.35
13-June-2018,139.45,140.85,139.00,139.65,139.778609210097515730,159564,1416,22303634.00,67936,42.58,1.85,0.20
12-June-2018,140.30,140.60,139.20,139.45,139.775653687307485116,144794,1259,20238676.00,75949,52.45,1.40,-0.85
11-June-2018,142.00,143.60,139.50,139.75,141.099412526598205199,216180,2171,30502871.00,91694,42.42,4.10,-2.25
8-June-2018,141.00,141.10,139.85,140.75,140.420779506954964880,181525,1565,25489882.00,104958,57.82,1.25,-0.25
7-June-2018,140.50,142.60,140.50,141.45,141.723212203200074637,128622,1202,18228723.00,56522,43.94,2.10,0.95
6-June-2018,138.10,140.50,138.10,139.75,139.501233112900761692,183276,1872,25567228.00,76675,41.84,2.40,1.65
5-June-2018,143.00,143.00,137.60,138.10,140.169717491148114913,452446,2575,63419228.00,290751,64.26,5.40,-4.90
4-June-2018,145.50,145.70,141.50,141.65,142.429494978542671326,180824,1543,25754671.00,93564,51.74,4.20,-3.85
1-June-2018,147.25,147.25,144.00,144.45,145.109586736822273956,148622,1409,21566477.00,68546,46.12,3.25,-2.80
31-May-2018,148.50,149.20,146.05,146.50,147.468709590285001637,173999,1344,25659408.00,100018,57.48,3.15,-2.00
30-May-2018,148.80,151.50,147.15,147.45,148.932088511192061794,202867,1944,30213406.00,87131,42.95,4.35,-1.35
29-May-2018,145.50,151.80,145.25,148.80,149.715949809443016498,315916,3267,47297664.00,102327,32.39,6.55,3.30
28-May-2018,143.20,146.85,143.20,146.55,145.711684651005871437,183771,1539,26777582.00,81340,44.26,3.65,3.35
25-May-2018,142.00,143.55,142.00,143.00,142.852000581987487269,103095,1211,14727327.00,44843,43.50,1.55,1.00
24-May-2018,144.80,144.80,141.50,141.90,142.558625087326928577,213279,1985,30404761.00,117772,55.22,3.30,-2.90
23-May-2018,144.75,145.05,140.80,141.15,142.266945326748130375,277997,3747,39549784.00,154737,55.66,4.25,-3.60
22-May-2018,143.55,145.80,143.55,145.10,144.683741530872367144,132983,1275,19240478.00,67351,50.65,2.25,1.55
21-May-2018,148.95,148.95,143.40,143.90,145.278603636869130053,230198,2757,33442844.00,112098,48.70,5.55,-5.05
18-May-2018,148.00,152.80,146.45,147.95,150.017315485693233452,472294,4031,70852278.00,155652,32.96,6.35,-0.05
17-May-2018,146.10,149.00,144.55,147.60,146.216497244426057534,270724,2283,39584315.00,132544,48.96,4.45,1.50
16-May-2018,147.50,149.40,145.35,145.70,146.366145593154051356,342626,2421,50148847.00,201990,58.95,4.05,-1.80
15-May-2018,150.25,150.75,146.85,147.45,148.870109058535499666,247115,2443,36788037.00,105994,42.89,3.90,-2.80
14-May-2018,152.00,153.00,149.15,149.80,150.757196086039803460,213901,2006,32247115.00,105298,49.23,3.85,-2.20
