Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
1-August-2018,1158.00,1158.00,1125.30,1136.85,1136.278624782564207510,29319,1255,33314553.00,3738,12.75,32.70,-21.15
31-July-2018,1144.00,1177.00,1099.70,1135.70,1142.333418005719483116,122039,5452,139409228.00,8128,6.66,77.30,-8.30
30-July-2018,1103.65,1135.50,1103.65,1129.00,1123.486661474053159380,41084,1750,46157326.00,3634,8.85,31.85,25.35
27-July-2018,1048.00,1112.00,1047.90,1092.95,1080.700752057795937703,84435,3313,91248968.00,9997,11.84,64.10,44.95
26-July-2018,1035.10,1056.95,1027.00,1038.30,1037.918957795285887083,30589,1289,31748903.00,3470,11.34,29.95,3.20
25-July-2018,1044.95,1064.85,1025.80,1031.25,1046.403098485662120073,37244,1451,38972237.00,3656,9.82,39.05,-13.70
24-July-2018,1048.00,1075.45,1020.00,1026.90,1050.848363937407543123,73683,2793,77429660.00,9655,13.10,55.45,-21.10
23-July-2018,1015.90,1050.00,1000.00,1041.35,1028.411973803265974406,46418,1745,47736827.00,6115,13.17,50.00,25.45
20-July-2018,964.15,1026.05,953.65,1017.95,1002.932910869265739082,43554,2021,43681740.00,7473,17.16,72.40,53.80
19-July-2018,990.05,990.05,960.00,970.70,972.338496006234171050,10266,496,9982027.00,1885,18.36,30.05,-19.35
18-July-2018,1003.05,1009.80,968.20,987.15,983.791196994095544820,20493,1092,20160833.00,3529,17.22,41.60,-15.90
17-July-2018,955.00,1009.00,925.00,995.20,976.079801871216290588,65412,3027,63847332.00,3628,5.55,84.00,40.20
16-July-2018,1020.00,1022.60,960.00,969.70,994.155372442913950723,24393,1358,24250432.00,5699,23.36,62.60,-50.30
13-July-2018,1021.75,1035.05,1000.00,1026.80,1018.647377239334965846,23277,1091,23711055.00,5793,24.89,35.05,5.05
12-July-2018,1050.00,1067.05,992.00,1020.25,1029.385882180467661934,81854,3668,84259352.00,13275,16.22,75.05,-29.75
11-July-2018,1047.95,1057.00,1019.30,1040.75,1036.958235294117647058,18700,1028,19391119.00,3959,21.17,37.70,-7.20
10-July-2018,1025.70,1061.15,1010.00,1041.15,1043.612603346651370702,25279,1502,26381483.00,5901,23.34,51.15,15.45
9-July-2018,1005.00,1037.05,1005.00,1025.90,1025.802223799384906553,12681,550,13008198.00,2287,18.03,32.05,20.90
6-July-2018,1026.80,1026.80,1002.20,1009.30,1008.863642574122147834,14638,638,14767746.00,1833,12.52,24.60,-17.50
5-July-2018,1020.00,1029.05,996.60,1003.15,1011.863070933434621593,21062,955,21311860.00,2982,14.16,32.45,-16.85
4-July-2018,1044.00,1050.00,1021.40,1029.70,1033.331691465009810333,48928,1758,50558853.00,7281,14.88,28.60,-14.30
3-July-2018,978.00,1035.50,976.00,1028.65,1012.208877919911012235,28768,1366,29119225.00,4990,17.35,59.50,50.65
2-July-2018,981.25,998.90,973.85,986.95,984.504534835783976913,14554,600,14328479.00,2208,15.17,25.05,5.70
29-June-2018,968.00,993.45,968.00,985.20,979.370472120472120472,19656,710,19250506.00,3491,17.76,25.45,17.20
28-June-2018,981.50,997.50,969.55,978.25,981.923394760763573258,24202,966,23764510.00,3663,15.14,27.95,-3.25
27-June-2018,1013.00,1022.05,976.00,990.90,999.130639380591502284,36551,1506,36519224.00,3975,10.88,46.05,-22.10
26-June-2018,1030.00,1040.00,1005.10,1012.40,1022.690111907676167162,22876,930,23395059.00,4150,18.14,34.90,-17.60
25-June-2018,1033.90,1079.25,1025.30,1040.85,1058.901162118408880666,34592,1263,36629509.00,4244,12.27,53.95,6.95
22-June-2018,1033.00,1044.95,1005.00,1035.30,1024.056007973357318229,41137,1404,42126592.00,4542,11.04,39.95,2.30
