Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
1-August-2018,230.00,234.95,228.80,233.50,233.190611768628104684,149975,1625,34972762.00,30321,20.22,6.15,3.50
31-July-2018,225.75,231.00,224.50,230.05,228.566044596440539717,101757,1056,23258195.00,27456,26.98,6.50,4.30
30-July-2018,227.45,228.30,223.00,226.85,226.102751135790005047,118860,1385,26874573.00,22231,18.70,5.30,-0.60
27-July-2018,224.80,227.50,222.85,224.85,224.944071107610129973,2782712,5885,625954566.00,2316530,83.25,4.65,0.05
26-July-2018,214.50,225.50,213.50,223.80,222.396725376681360305,1394481,12156,310128008.00,608976,43.67,12.00,9.30
25-July-2018,215.00,216.60,206.25,209.50,211.374305661582022846,720470,4599,152288846.00,319098,44.29,10.35,-5.50
24-July-2018,202.00,216.45,202.00,212.70,213.341165472772919526,1221633,4848,260624608.00,435815,35.67,14.45,10.70
23-July-2018,196.00,200.20,193.20,197.95,198.324802441368952620,541991,1723,107490258.00,311088,57.40,7.00,1.95
20-July-2018,192.20,195.05,192.20,194.25,194.010632652660128535,50881,1761,9871455.00,11595,22.79,2.85,2.05
19-July-2018,195.15,195.95,191.50,193.05,193.408417946715265121,57615,737,11143226.00,15558,27.00,4.45,-2.10
18-July-2018,196.90,198.25,193.00,195.75,196.029981535853739746,198222,1594,38857455.00,52337,26.40,5.25,-1.15
17-July-2018,190.70,196.40,189.15,195.65,193.799562674904962034,99697,928,19321235.00,27984,28.07,7.25,4.95
16-July-2018,197.90,197.95,189.70,190.55,193.304270937604270937,149850,1413,28966645.00,40345,26.92,8.25,-7.35
13-July-2018,202.45,203.10,196.50,197.15,199.032411274567331920,144857,1249,28831238.00,51965,35.87,6.60,-5.30
12-July-2018,203.55,206.25,201.10,202.05,203.862980245410758699,133083,1151,27130697.00,22735,17.08,5.15,-1.50
11-July-2018,205.00,205.20,201.60,202.45,202.728749143319972586,96302,668,19523184.00,26212,27.22,3.60,-2.55
10-July-2018,207.35,208.60,203.85,204.10,204.918643898542041142,300420,1529,61561659.00,198122,65.95,4.75,-3.25
9-July-2018,211.20,211.20,205.65,206.40,207.350121591555854504,96635,1019,20037279.00,38519,39.86,5.55,-4.80
6-July-2018,207.30,212.20,206.60,207.35,209.232469407674499269,123969,1434,25938340.00,34886,28.14,5.60,0.05
5-July-2018,202.10,210.00,201.85,207.30,206.003996020067965754,808054,3877,166462353.00,643897,79.68,8.15,5.20
4-July-2018,201.60,204.30,200.00,201.15,201.948859690800774825,109444,1028,22102091.00,39132,35.76,4.30,-0.45
3-July-2018,201.60,202.40,198.10,200.85,200.958435349511046722,69025,1105,13871156.00,19993,28.96,4.30,-0.75
2-July-2018,208.00,208.00,198.55,200.30,201.220177901135901349,693194,1604,139484620.00,508859,73.41,9.45,-7.70
29-June-2018,203.00,208.00,202.30,207.45,205.639387325952410961,150749,1040,30999932.00,41488,27.52,5.70,4.45
28-June-2018,204.90,208.20,200.00,201.40,204.076641932912246274,81535,806,16639389.00,18433,22.61,8.20,-3.50
27-June-2018,215.40,215.40,204.25,205.30,207.390274744223473962,391455,1511,81183960.00,221855,56.67,11.15,-10.10
26-June-2018,206.80,214.60,206.80,212.15,213.298490478527475016,741692,6727,158201784.00,423500,57.10,7.80,5.35
25-June-2018,204.75,209.40,204.75,206.80,207.586463350500806406,910831,2261,189076186.00,778208,85.44,4.65,2.05
22-June-2018,196.40,205.85,195.65,204.75,201.529553655853804442,103642,1011,20886926.00,24844,23.97,10.20,8.35
21-June-2018,198.05,198.15,195.75,197.30,196.939775926479951518,1564308,744,308074467.00,1519051,97.11,2.40,-0.75
20-June-2018,201.30,202.05,196.45,197.40,197.228221399524254287,3808337,1365,751111533.00,3724856,97.81,5.60,-3.90
19-June-2018,203.70,203.85,199.00,200.00,200.002121176881032678,1074875,760,214977280.00,1039637,96.72,4.85,-3.70
18-June-2018,204.30,205.50,202.00,203.40,203.518809523809523809,50400,454,10257348.00,23725,47.07,3.50,-0.90
15-June-2018,205.00,207.70,202.05,204.90,204.850954056431422965,59116,865,12109969.00,14059,23.78,5.65,-0.10
14-June-2018,209.90,210.35,204.50,205.95,207.905214276286216149,1083391,835,225242638.00,1035365,95.57,5.85,-3.95
13-June-2018,209.00,211.30,205.25,209.45,209.881669157140998918,315201,1353,66154912.00,229007,72.65,6.05,0.45
12-June-2018,206.00,207.70,205.00,206.90,206.171245555068439768,82116,844,16929958.00,28906,35.20,2.70,0.90
11-June-2018,206.50,210.40,205.05,205.90,206.865655517415715388,187905,1289,38871091.00,89905,47.85,5.35,-0.60
8-June-2018,205.90,207.50,204.80,205.60,206.037813389659289190,43556,416,8974183.00,12018,27.59,2.70,-0.30
7-June-2018,206.00,207.25,204.85,205.80,206.251796937393659502,57598,625,11879691.00,21810,37.87,2.40,-0.20
6-June-2018,201.80,206.80,200.40,204.05,203.849484038551617436,70451,1005,14361400.00,22740,32.28,6.40,2.25
5-June-2018,201.60,203.00,199.00,202.00,200.466032111604920500,666924,2505,133695608.00,543322,81.47,4.00,0.40
4-June-2018,207.00,207.00,200.25,201.75,202.033481996764934129,106953,1230,21608087.00,33470,31.29,6.75,-5.25
1-June-2018,205.20,209.10,203.00,203.40,205.438057056949565092,83811,912,17217969.00,27664,33.01,6.10,-1.80
31-May-2018,210.00,210.00,202.25,205.20,206.677579210042094119,198365,1372,40997598.00,70811,35.70,7.75,-4.80
30-May-2018,209.75,209.95,205.20,206.00,207.505653682175674602,75526,971,15672072.00,33419,44.25,4.75,-3.75
29-May-2018,212.00,213.75,208.00,208.55,210.925755233678746588,104802,899,22105441.00,49975,47.69,5.75,-3.45
28-May-2018,213.00,214.50,210.85,212.65,213.219099512474906796,66253,745,14126405.00,25298,38.18,3.65,-0.35
25-May-2018,214.50,214.50,209.80,211.90,211.692977426858434623,122092,1152,25846019.00,33431,27.38,4.70,-2.60
24-May-2018,209.35,214.00,204.40,212.30,209.627923836758531108,99313,1735,20818778.00,19349,19.48,9.60,2.95
23-May-2018,207.00,209.15,206.35,207.10,207.619060735435890373,58088,475,12060176.00,17758,30.57,2.80,0.10
22-May-2018,210.00,210.00,206.60,208.20,208.227798791138365649,79579,991,16570560.00,26925,33.83,3.40,-1.80
21-May-2018,211.65,215.90,204.35,208.05,207.871335894407988161,133798,1295,27812769.00,39297,29.37,11.55,-3.60
18-May-2018,220.00,220.00,209.70,211.65,212.618982125406534541,193403,1143,41121149.00,118887,61.47,10.30,-8.35
17-May-2018,211.75,220.50,211.75,217.00,217.641940686247249211,125873,1345,27395244.00,33226,26.40,8.75,5.25
16-May-2018,213.00,214.65,210.15,211.35,212.202328202098445312,182802,2078,38791010.00,96316,52.69,4.50,-1.65
15-May-2018,216.55,219.00,211.25,214.55,216.111818022179897610,222093,1716,47996922.00,87137,39.23,7.75,-2.00
14-May-2018,216.40,219.50,215.25,217.65,217.448013631630431352,95073,762,20673435.00,45803,48.18,4.25,1.25
11-May-2018,218.60,221.35,216.70,217.35,218.590105921419395496,82514,973,18036744.00,25246,30.60,4.65,-1.25
10-May-2018,225.00,225.90,219.45,220.40,222.153047709149885119,110985,1235,24655656.00,35525,32.01,6.45,-4.60
9-May-2018,228.85,230.70,224.50,225.15,226.690646281212444919,89868,1264,20372235.00,32915,36.63,6.20,-3.70
8-May-2018,234.85,236.05,229.25,230.00,232.353012739584528864,87130,1097,20244918.00,23035,26.44,6.80,-4.85
7-May-2018,237.70,238.30,233.55,235.05,235.489584356511949466,132349,1231,31166811.00,37019,27.97,4.75,-2.65
4-May-2018,243.20,244.65,234.45,236.95,239.593993193221290481,285010,3115,68286684.00,34460,12.09,10.20,-6.25
3-May-2018,243.30,245.90,238.80,240.45,242.189536351540377332,58622,657,14197635.00,16650,28.40,7.10,-2.85
2-May-2018,249.35,251.70,244.35,245.65,248.562175149553790330,40788,596,10138354.00,9467,23.21,7.35,-3.70
30-April-2018,244.30,252.40,244.30,250.00,250.017542905618515215,91946,1052,22988113.00,15843,17.23,8.10,5.70
27-April-2018,241.80,245.80,241.80,244.50,243.594333612740989103,29825,300,7265201.00,7525,25.23,4.00,2.70
26-April-2018,244.10,247.55,241.60,242.75,244.142500396384969081,25228,297,6159227.00,8808,34.91,5.95,-1.35
25-April-2018,245.05,249.10,244.00,245.55,246.664528145695364238,38656,435,9535064.00,7385,19.10,5.10,0.50
24-April-2018,245.60,249.50,245.60,246.95,247.292210476584184728,50799,516,12562197.00,12809,25.22,3.90,1.35
