Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
1-August-2018,958.00,963.90,942.25,949.40,955.432414048973534504,16172,785,15451253.00,2827,17.48,21.65,-8.60
31-July-2018,943.30,961.00,937.20,953.15,949.271929215822345593,57640,1735,54716034.00,28832,50.02,23.80,9.85
30-July-2018,938.05,941.00,912.00,933.00,926.640648493168595149,45891,1938,42524466.00,8671,18.89,29.00,-5.05
27-July-2018,943.70,945.60,931.00,933.75,936.599940599940599940,13468,626,12614128.00,3409,25.31,14.60,-9.95
26-July-2018,943.90,944.85,931.50,936.95,936.657504831436547133,13971,622,13086042.00,2972,21.27,13.35,-6.95
25-July-2018,949.95,955.60,936.00,941.50,946.674903261470425649,18090,890,17125349.00,3132,17.31,19.60,-8.45
24-July-2018,956.55,958.40,927.15,940.45,942.836749254118562718,15418,753,14536657.00,3601,23.36,31.25,-16.10
23-July-2018,934.30,957.00,911.10,952.55,932.187440635523702616,46324,1690,43182651.00,11095,23.95,45.90,18.25
20-July-2018,955.90,955.90,927.95,930.40,933.532729447957614083,23404,941,21848400.00,8222,35.13,27.95,-25.50
19-July-2018,966.25,966.25,939.75,955.05,952.166817803974911206,26466,1070,25200047.00,6310,23.84,26.50,-11.20
18-July-2018,989.95,992.00,959.80,970.00,970.780341699010345817,80129,1204,77787658.00,61146,76.31,32.20,-19.95
17-July-2018,940.05,985.00,920.55,978.20,946.549741357557406005,31704,1440,30009413.00,5940,18.74,64.45,38.15
16-July-2018,965.10,979.80,937.95,943.55,947.730794946686842383,28417,1304,26931666.00,7228,25.44,41.85,-21.55
13-July-2018,1014.80,1014.80,970.00,975.30,977.830213303968351074,24519,1216,23975419.00,7386,30.12,44.80,-39.50
12-July-2018,998.20,1027.00,998.00,999.45,1012.524690166402841589,25901,1029,26225402.00,5858,22.62,29.00,1.25
11-July-2018,1014.90,1014.90,990.60,997.40,999.867466678474959039,22583,1248,22580007.00,9896,43.82,24.30,-17.50
10-July-2018,1000.00,1014.30,993.00,1008.70,1004.769263183241030580,16612,781,16691227.00,1033,6.22,21.30,8.70
9-July-2018,1034.90,1034.90,992.00,1000.55,1002.965489637996975896,22486,1116,22552682.00,3776,16.79,42.90,-34.35
6-July-2018,1054.05,1064.05,1004.10,1010.85,1031.297553107310244080,32858,1503,33886375.00,8941,27.21,59.95,-43.20
5-July-2018,1078.75,1089.00,1036.05,1044.55,1070.386998223801065719,14075,864,15065697.00,3069,21.80,52.95,-34.20
4-July-2018,1059.00,1083.90,1055.00,1078.05,1075.692226468222043443,19888,1017,21393367.00,4104,20.64,28.90,19.05
3-July-2018,1070.90,1070.90,1049.70,1060.00,1058.377438262707792831,20814,1080,22029068.00,4306,20.69,21.20,-10.90
2-July-2018,1066.95,1067.85,1037.80,1063.40,1050.259069563880247453,84541,1046,88789952.00,68043,80.49,30.05,-3.55
29-June-2018,1033.40,1055.25,1007.35,1046.20,1032.829355978429306390,16133,962,16662636.00,3945,24.45,47.90,12.80
28-June-2018,1010.05,1017.55,1000.00,1011.60,1009.250590438960827428,12279,470,12392588.00,3094,25.20,17.55,1.55
27-June-2018,1017.05,1026.70,1010.00,1018.40,1016.215911531028559158,18628,935,18930070.00,3338,17.92,16.70,1.35
26-June-2018,1034.00,1043.60,1016.05,1021.50,1033.014659937515020427,12483,713,12895122.00,1432,11.47,27.55,-12.50
25-June-2018,1028.75,1051.95,1023.70,1035.90,1028.193803400904674149,95504,702,98196621.00,83057,86.97,28.25,7.15
22-June-2018,1038.00,1038.00,1005.00,1021.75,1017.840963604129731984,9589,463,9760077.00,1177,12.27,33.00,-16.25
21-June-2018,1048.00,1048.00,1017.95,1021.00,1027.558643089137495488,11084,640,11389460.00,3035,27.38,30.05,-27.00
20-June-2018,1058.00,1074.90,1042.40,1048.30,1057.796766660679001257,27835,1386,29443773.00,7090,25.47,32.50,-9.70
