Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
1-August-2018,112.50,119.20,112.05,118.75,116.318139986578127720,8338628,23290,969933699.00,2869471,34.41,7.15,6.25
31-July-2018,113.00,113.35,111.00,112.80,112.238274691298353839,1344826,8547,150940950.00,347817,25.86,2.35,-0.20
30-July-2018,113.20,114.65,111.75,112.85,113.245683607777803285,1524595,6290,172653803.00,360163,23.62,2.90,-0.35
27-July-2018,112.50,113.60,111.25,112.85,112.656484058397355033,1380131,7003,155480706.00,380881,27.60,2.35,0.35
26-July-2018,110.70,113.00,110.60,111.95,111.902688959456869884,1461160,5708,163507733.00,403544,27.62,2.40,1.25
25-July-2018,113.90,113.90,109.60,110.15,111.276090761709163812,2043549,9003,227398144.00,506757,24.80,4.30,-3.75
24-July-2018,109.80,113.10,109.25,112.75,111.701224462116271045,2506815,11643,280014305.00,562847,22.45,3.85,2.95
23-July-2018,108.70,110.30,107.90,109.00,108.922669157651518609,1840236,7985,200443417.00,412679,22.43,2.40,0.30
20-July-2018,106.25,110.05,106.00,107.45,108.308998506280573655,4617333,18717,500098713.00,831173,18.00,4.05,1.20
19-July-2018,112.10,113.60,105.20,105.90,108.619741473145605809,9570147,46213,1039506893.00,1371720,14.33,8.40,-6.20
18-July-2018,130.00,130.00,109.35,110.60,116.347944524931854602,10330118,48049,1201887996.00,3010332,29.14,20.65,-19.40
17-July-2018,126.00,133.70,125.00,128.50,129.423923557652788052,4501170,17982,582559082.00,800092,17.78,8.70,2.50
16-July-2018,133.35,133.40,120.55,125.75,125.870468397193205401,3109882,11349,391442304.00,493014,15.85,12.85,-7.60
13-July-2018,135.05,136.00,132.15,132.85,133.604192728162732513,882528,4085,117909441.00,200819,22.75,3.85,-2.20
12-July-2018,134.00,137.00,133.60,133.90,135.383285506689006684,1115487,4924,151018295.00,339585,30.44,3.40,-0.10
11-July-2018,134.00,135.60,132.35,133.25,133.891313117227847029,803188,3125,107539896.00,121097,15.08,3.25,-0.75
10-July-2018,131.10,135.00,131.10,133.90,133.925343955577562424,1130960,5194,151464207.00,282022,24.94,3.90,2.80
9-July-2018,134.15,135.60,130.00,130.90,132.972058953381680532,1562862,7451,207816978.00,440638,28.19,5.60,-3.25
