Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
1-August-2018,1460.00,1461.05,1432.55,1437.75,1445.777913175932977913,59085,1932,85423788.00,13892,23.51,28.50,-22.25
31-July-2018,1435.40,1454.40,1428.00,1448.30,1447.083862885546002848,98983,3112,143236702.00,34793,35.15,26.40,12.90
30-July-2018,1449.00,1450.90,1427.75,1430.80,1439.705023433268175502,42461,1611,61131315.00,7880,18.56,23.15,-18.20
27-July-2018,1449.00,1452.30,1427.30,1433.25,1438.590715178856008041,81574,2317,117351599.00,12203,14.96,25.00,-15.75
26-July-2018,1451.85,1457.45,1422.35,1432.50,1432.338184536590797028,125742,6732,180105068.00,52756,41.96,35.10,-19.35
25-July-2018,1454.00,1488.60,1423.45,1450.30,1455.273952044894141654,235220,8758,342309539.00,32000,13.60,65.15,-3.70
24-July-2018,1440.00,1475.00,1428.00,1466.70,1455.258056233822034519,190846,7602,277730179.00,30987,16.24,47.00,26.70
23-July-2018,1421.55,1465.10,1396.10,1433.70,1429.415623442087187725,144424,5509,206441922.00,35605,24.65,69.00,12.15
20-July-2018,1400.00,1404.95,1382.20,1396.90,1394.662741522464499107,51548,2317,71892075.00,21888,42.46,22.75,-3.10
19-July-2018,1398.00,1408.00,1394.65,1399.45,1401.654947272619353817,50543,1748,70843846.00,11134,22.03,13.35,1.45
18-July-2018,1385.60,1399.45,1379.75,1391.40,1390.427214334712204045,48107,2793,66889282.00,8106,16.85,19.70,5.80
17-July-2018,1361.30,1383.10,1354.60,1377.90,1373.239348271004438774,37623,2105,51665384.00,8410,22.35,28.50,16.60
16-July-2018,1370.00,1393.50,1351.55,1358.60,1377.033053186151530356,271048,3013,373242055.00,30959,11.42,41.95,-11.40
13-July-2018,1358.00,1374.95,1358.00,1368.50,1362.672026601043481425,219841,1164,299571181.00,196723,89.48,16.95,10.50
12-July-2018,1370.00,1379.15,1347.00,1357.25,1361.446841673502871205,48760,1560,66384148.00,13897,28.50,32.15,-12.75
11-July-2018,1367.00,1383.70,1355.05,1358.30,1369.057509682211257891,37698,2051,51610730.00,8798,23.34,28.65,-8.70
10-July-2018,1362.00,1375.85,1356.50,1369.45,1367.908639389127276413,59194,2323,80971984.00,12141,20.51,19.35,7.45
9-July-2018,1334.00,1370.65,1326.05,1364.00,1354.247149190185664750,113915,5448,154269064.00,40026,35.14,44.60,30.00
6-July-2018,1327.50,1335.60,1309.75,1322.80,1324.326533073382509597,49753,1793,65889218.00,14949,30.05,25.85,-4.70
5-July-2018,1306.30,1326.00,1279.35,1321.85,1308.862625211395863145,61496,2066,80489816.00,16993,27.63,46.65,15.55
4-July-2018,1298.00,1299.70,1283.25,1291.55,1290.789798947510457428,37055,1150,47830216.00,8343,22.52,16.45,-6.45
3-July-2018,1294.00,1309.20,1288.35,1291.90,1299.349243339253996447,70375,2566,91441703.00,19441,27.62,20.85,-2.10
2-July-2018,1265.05,1298.50,1261.80,1293.50,1286.978140405167140441,55582,2312,71532819.00,12812,23.05,36.70,28.45
29-June-2018,1264.85,1270.95,1252.05,1264.10,1261.680029300126523273,30034,3360,37893298.00,9557,31.82,18.90,-0.75
28-June-2018,1270.00,1272.50,1250.80,1267.45,1262.912542882654260068,21279,799,26873516.00,5406,25.41,21.70,-2.55
27-June-2018,1278.00,1284.50,1262.20,1265.25,1274.701012005159241988,20158,773,25695423.00,5095,25.28,22.30,-12.75
26-June-2018,1259.00,1280.00,1254.05,1273.70,1267.936483752528910757,40037,2148,50764373.00,9529,23.80,25.95,14.70
25-June-2018,1273.00,1279.80,1250.25,1254.05,1258.042858290488431876,24896,975,31320235.00,7788,31.28,29.55,-18.95
22-June-2018,1263.75,1273.75,1243.05,1268.20,1261.670600614264588783,35164,870,44365385.00,6223,17.70,30.70,4.45
21-June-2018,1272.05,1278.45,1248.65,1254.40,1260.338178294573643410,29928,999,37719401.00,8679,29.00,29.80,-17.65
20-June-2018,1270.00,1275.50,1260.00,1272.10,1267.810683951721054984,17896,710,22688740.00,4170,23.30,15.50,2.10
19-June-2018,1277.00,1286.80,1266.00,1268.65,1274.396551724137931034,29580,757,37696650.00,9767,33.02,20.80,-8.35
18-June-2018,1290.00,1290.75,1271.95,1276.70,1284.913776729868683891,30537,1400,39237412.00,7780,25.48,18.80,-13.30
15-June-2018,1298.00,1298.00,1269.00,1281.05,1277.048907675897760044,25313,846,32325939.00,8774,34.66,29.00,-16.95
14-June-2018,1280.10,1288.65,1275.00,1285.85,1282.025925925925925925,23220,1436,29768642.00,8948,38.54,13.65,5.75
