Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
1-August-2018,593.75,601.65,592.50,598.95,597.201327705609965987,48806,868,29147008.00,9107,18.66,9.15,5.20
31-July-2018,605.00,607.75,590.10,592.45,598.016887045875387945,76686,1257,45859523.00,25720,33.54,17.65,-12.55
30-July-2018,592.45,606.60,587.65,603.05,601.297596990093019738,105784,1740,63607665.00,23858,22.55,18.95,10.60
27-July-2018,584.00,598.00,582.65,591.20,591.948341870412420129,75748,1330,44838903.00,21703,28.65,15.35,7.20
26-July-2018,587.90,591.00,579.05,584.00,585.148293808031225974,67636,1231,39577090.00,17059,25.22,11.95,-3.90
25-July-2018,597.05,599.10,583.10,585.15,588.668836947866410604,64047,1157,37702473.00,15619,24.39,16.00,-11.90
24-July-2018,590.50,596.00,588.05,592.95,592.902106115193549923,63007,1095,37356983.00,11582,18.38,7.95,2.45
23-July-2018,585.95,596.65,577.80,589.10,589.628043985963923998,85209,1483,50241616.00,17953,21.07,18.85,3.15
20-July-2018,571.00,587.95,567.55,582.05,580.036306647512080449,107198,1995,62178732.00,23890,22.29,20.40,11.05
19-July-2018,577.90,580.00,566.00,569.05,572.334241112678111170,102815,1397,58844545.00,25448,24.75,14.00,-8.85
18-July-2018,588.00,588.40,572.55,576.50,580.069635627530364372,88920,1535,51579792.00,21942,24.68,15.85,-11.50
17-July-2018,574.50,586.50,566.65,585.15,580.836028909503558601,90766,1710,52720163.00,26409,29.10,19.85,10.65
16-July-2018,610.00,612.15,569.10,572.30,586.248795812328560429,258473,4253,151529485.00,69758,26.99,43.05,-37.70
13-July-2018,609.00,611.00,593.80,602.90,603.188936080960620837,95355,1491,57517081.00,18472,19.37,17.20,-6.10
12-July-2018,611.40,617.00,602.40,606.40,609.915327318273515263,90218,2172,55025341.00,19436,21.54,14.60,-5.00
11-July-2018,615.00,622.00,607.00,610.20,615.174784609359702369,81712,1373,50267162.00,17662,21.61,15.00,-4.80
10-July-2018,626.00,628.20,614.45,617.25,619.092224045958145260,146220,3403,90523665.00,35722,24.43,13.75,-8.75
9-July-2018,619.95,625.90,619.95,623.15,623.321184949502253718,82974,933,51719452.00,13972,16.84,5.95,3.20
6-July-2018,619.10,626.70,615.25,617.40,621.532164901469291510,100933,2084,62733106.00,13804,13.68,11.45,-1.70
5-July-2018,627.70,635.50,613.95,615.95,626.161206916814880397,127631,1991,79917581.00,29269,22.93,21.55,-11.75
4-July-2018,628.00,633.80,621.30,624.95,627.192365265168242898,174361,2361,109357888.00,26620,15.27,12.50,-3.05
3-July-2018,605.95,629.20,602.65,627.05,620.482815546363951094,274405,4334,170263587.00,71548,26.07,26.55,21.10
2-July-2018,608.00,612.55,601.20,602.95,605.879034703271865266,72558,1162,43961371.00,18712,25.79,11.35,-5.05
29-June-2018,600.20,608.80,597.10,606.55,604.080285060894538105,94015,1672,56792608.00,19582,20.83,11.70,6.35
28-June-2018,616.90,621.00,597.80,602.25,611.218295399062288897,149513,2538,91385081.00,29354,19.63,23.20,-14.65
27-June-2018,611.20,618.30,602.00,614.65,610.164623334690188556,144943,2408,88439091.00,24715,17.05,16.30,3.45
26-June-2018,613.30,621.00,606.25,607.35,615.931746243546658706,726949,3013,447750967.00,550718,75.76,14.75,-5.95
25-June-2018,611.20,622.00,603.00,607.70,612.801464101935800049,163240,2609,100033711.00,47756,29.26,19.00,-3.50
