Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
1-August-2018,1660.00,1675.00,1642.55,1668.25,1661.882623830098468123,73831,3955,122698456.00,14632,19.82,32.45,8.25
31-July-2018,1622.00,1663.80,1622.00,1652.75,1647.146909326865141285,258908,12133,426459512.00,74244,28.68,41.80,30.75
30-July-2018,1569.00,1597.95,1563.55,1592.65,1581.383801140151566687,73499,2768,116230128.00,18096,24.62,34.40,23.65
27-July-2018,1550.00,1571.75,1550.00,1567.70,1564.991580613823624653,27793,1035,43495811.00,8018,28.85,21.75,17.70
26-July-2018,1570.00,1573.90,1542.00,1558.60,1555.640735153772742665,32483,1273,50531878.00,7546,23.23,31.90,-11.40
25-July-2018,1576.00,1588.80,1560.55,1564.40,1572.573347519616970341,37595,1641,59120895.00,9912,26.37,28.25,-11.60
24-July-2018,1534.00,1584.40,1534.00,1574.00,1569.087510211226514179,68552,3389,107564087.00,19630,28.64,50.40,40.00
23-July-2018,1524.95,1558.90,1523.30,1532.90,1538.545179778802668696,44666,1875,68720659.00,9286,20.79,35.60,7.95
20-July-2018,1525.00,1538.85,1507.90,1516.75,1521.612255478673552812,50149,2250,76307333.00,25853,51.55,30.95,-8.25
19-July-2018,1551.00,1558.35,1514.00,1522.70,1533.478563151796060254,36246,1537,55582464.00,12364,34.11,44.35,-28.30
18-July-2018,1569.90,1574.80,1532.00,1551.05,1549.084577216857795804,48571,1605,75240587.00,16272,33.50,42.80,-18.85
17-July-2018,1560.00,1575.00,1543.00,1562.00,1560.449102484543427796,43509,1888,67893580.00,21446,49.29,32.00,2.00
16-July-2018,1575.00,1575.00,1546.00,1550.90,1561.157074366776855885,91358,1606,142624188.00,6532,7.15,29.00,-24.10
13-July-2018,1588.85,1588.95,1553.00,1574.45,1566.965809809901625811,43609,2176,68333812.00,7716,17.69,35.95,-14.40
12-July-2018,1592.00,1605.95,1577.30,1585.70,1590.012403237156931738,34104,1436,54225783.00,7695,22.56,28.65,-6.30
11-July-2018,1597.45,1603.05,1550.00,1593.60,1591.434085298053184071,53061,1959,84443084.00,13648,25.72,53.05,-3.85
10-July-2018,1579.90,1601.10,1575.05,1595.70,1591.181885488647581441,72936,2864,116054442.00,22295,30.57,26.05,15.80
9-July-2018,1576.00,1588.55,1550.00,1564.15,1563.188263109009541501,59215,2357,92564193.00,9829,16.60,38.55,-11.85
6-July-2018,1545.00,1580.00,1544.00,1569.40,1570.314769799212407020,82276,3298,129199218.00,23978,29.14,36.00,24.40
5-July-2018,1546.50,1560.55,1539.00,1545.40,1548.937266062424598632,32327,1448,50072495.00,7147,22.11,21.55,-1.10
4-July-2018,1522.70,1557.30,1522.70,1541.70,1544.612355480423823467,66254,2903,102336747.00,16790,25.34,34.60,19.00
3-July-2018,1528.00,1538.00,1504.00,1518.80,1522.438396728593083512,56734,2245,86374020.00,15069,26.56,34.00,-9.20
2-July-2018,1485.50,1545.00,1485.50,1521.90,1521.192963703828123807,130978,5190,199242812.00,25086,19.15,59.50,36.40
29-June-2018,1447.95,1492.80,1441.00,1482.10,1467.702993691082259518,82106,3397,120507222.00,20902,25.46,51.80,34.15
28-June-2018,1452.20,1459.05,1420.00,1433.90,1435.017014705670125409,69293,2774,99436634.00,22258,32.12,39.05,-18.30
27-June-2018,1465.00,1485.00,1426.45,1450.90,1456.617732271947343253,71102,4042,103568434.00,24524,34.49,58.55,-14.10
26-June-2018,1470.10,1488.60,1464.30,1468.65,1479.388155883851248089,39260,2520,58080779.00,14777,37.64,24.30,-1.45
25-June-2018,1491.20,1503.25,1474.00,1480.75,1488.983326074783798917,48219,2177,71797287.00,16921,35.09,29.25,-10.45
22-June-2018,1498.00,1506.05,1485.00,1494.50,1495.630145217826740110,39940,1555,59735468.00,14217,35.60,21.05,-3.50
21-June-2018,1489.70,1514.00,1475.95,1489.70,1495.548541239021435541,89151,3721,133329648.00,15925,17.86,38.05,0.00
20-June-2018,1488.00,1502.00,1479.00,1485.90,1492.876829296134791443,43801,2016,65389498.00,13363,30.51,23.00,-2.10
19-June-2018,1522.55,1523.95,1480.50,1485.60,1499.317440762186357849,97404,5288,146039516.00,30558,31.37,43.45,-36.95
18-June-2018,1519.00,1545.65,1503.00,1520.55,1526.909878823553291249,98534,3879,150452538.00,24894,25.26,42.65,1.55
15-June-2018,1556.50,1556.50,1526.00,1538.10,1539.988005095815689370,111464,4308,171653223.00,34798,31.22,30.50,-18.40
14-June-2018,1597.00,1597.00,1558.05,1567.60,1573.945828885535146808,81501,4560,128278159.00,34223,41.99,38.95,-29.40
13-June-2018,1607.10,1622.05,1586.15,1592.90,1601.139992845644786263,55910,2993,89519737.00,18085,32.35,35.90,-14.20
12-June-2018,1600.00,1610.00,1594.00,1605.50,1603.690191153444676409,61312,2636,98325453.00,17046,27.80,16.00,5.50
11-June-2018,1600.05,1619.95,1586.30,1593.80,1603.009531693084400150,122014,5207,195589605.00,33510,27.46,33.65,-6.25
8-June-2018,1545.00,1599.00,1537.45,1593.05,1576.834197894397160259,123955,4793,195456483.00,24021,19.38,61.55,48.05
7-June-2018,1526.10,1561.00,1526.10,1554.95,1549.913779210314262691,79424,4141,123100352.00,19935,25.10,34.90,28.85
6-June-2018,1455.00,1528.20,1435.00,1519.45,1495.036625801666593953,137526,5865,205606407.00,25423,18.49,93.20,64.45
5-June-2018,1481.00,1497.85,1425.55,1452.45,1464.999362914751106289,116154,6774,170165536.00,31055,26.74,72.30,-28.55
4-June-2018,1531.30,1545.00,1480.20,1486.40,1517.861359844372718595,274502,6860,416655979.00,168314,61.32,64.80,-44.90
1-June-2018,1535.00,1564.65,1523.15,1531.30,1542.202392451788732880,115948,4675,178815283.00,21725,18.74,41.50,-3.70
31-May-2018,1572.50,1606.00,1506.20,1565.50,1561.654373153764304125,260327,9343,406540798.00,47393,18.21,99.80,-7.00
30-May-2018,1544.00,1571.00,1540.00,1564.00,1558.188195310204632622,125933,4420,196227314.00,23559,18.71,31.00,20.00
29-May-2018,1534.00,1555.00,1490.00,1544.55,1525.564684761633608553,126444,6093,192898501.00,27602,21.83,65.00,10.55
28-May-2018,1505.70,1530.00,1505.70,1527.50,1521.803227916137325505,133027,5452,202440918.00,32832,24.68,24.30,21.80
25-May-2018,1422.00,1509.00,1422.00,1497.45,1476.253068003977807460,375081,13486,553714477.00,86342,23.02,87.00,75.45
24-May-2018,1360.00,1447.65,1345.00,1404.20,1369.420226896672437572,5924547,34432,8113194497.00,4755670,80.27,102.65,44.20
23-May-2018,1383.60,1417.00,1347.45,1358.85,1367.085147191305105925,103233,6138,141128301.00,36705,35.56,69.55,-24.75
22-May-2018,1350.00,1398.00,1347.10,1382.15,1377.753043397722733877,172751,5316,238008216.00,58111,33.64,50.90,32.15
21-May-2018,1415.00,1421.00,1337.05,1347.95,1362.180048581155625423,211193,9681,287682891.00,44380,21.01,83.95,-67.05
18-May-2018,1497.50,1504.00,1379.00,1416.85,1429.546712777171601353,270365,12104,386499397.00,56764,21.00,125.00,-80.65
17-May-2018,1500.00,1512.35,1488.00,1495.15,1498.067763817338399496,42899,2458,64265609.00,13052,30.42,24.35,-4.85
16-May-2018,1483.95,1499.95,1477.10,1496.05,1494.469408534139643948,64822,3441,96874496.00,21280,32.83,22.85,12.10
15-May-2018,1430.35,1516.80,1430.35,1485.55,1492.986634240563653741,199839,8473,298356956.00,55548,27.80,86.45,55.20
14-May-2018,1450.25,1472.40,1415.35,1424.15,1445.732783184694519483,81069,3150,117204111.00,28417,35.05,57.05,-26.10
11-May-2018,1458.00,1494.90,1447.00,1454.50,1468.268634148464015316,91928,3305,134974999.00,22041,23.98,47.90,-3.50
10-May-2018,1441.00,1477.00,1402.75,1457.25,1441.965626374051149733,206961,7114,298430648.00,55285,26.71,74.25,16.25
9-May-2018,1468.00,1468.00,1445.00,1448.10,1452.339321616187820221,46257,1795,67180860.00,21053,45.51,23.00,-19.90
8-May-2018,1480.00,1480.00,1457.00,1463.45,1468.305631152773577932,59526,2086,87402361.00,22265,37.40,23.00,-16.55
7-May-2018,1468.00,1487.30,1433.45,1463.55,1460.542681688138003419,236284,8087,345102867.00,46221,19.56,53.85,-4.45
4-May-2018,1494.30,1500.40,1480.35,1489.55,1492.654484436613809883,59595,2474,88954744.00,26490,44.45,20.05,-4.75
3-May-2018,1499.90,1503.00,1476.95,1492.75,1491.643818921628368682,50873,2251,75884396.00,12955,25.47,26.05,-7.15
2-May-2018,1500.00,1508.35,1489.10,1493.40,1498.142703024441055020,53762,1876,80543148.00,20999,39.06,19.25,-6.60
30-April-2018,1498.90,1534.00,1486.15,1493.15,1511.305298650486286173,125749,4832,190045130.00,37288,29.65,47.85,-5.75
27-April-2018,1490.25,1496.00,1478.05,1483.75,1487.027947687661556573,39073,1551,58102643.00,8199,20.98,17.95,-6.50
26-April-2018,1489.00,1491.65,1468.80,1474.15,1476.435657301422129725,57660,1917,85131280.00,23014,39.91,22.85,-14.85
25-April-2018,1468.05,1499.35,1465.10,1480.40,1487.825859030837004405,68100,2598,101320941.00,17381,25.52,34.25,12.35
24-April-2018,1491.25,1496.95,1471.65,1476.35,1481.693895931371445297,44413,2038,65806471.00,15185,34.19,25.30,-14.90
23-April-2018,1474.55,1497.95,1474.00,1489.40,1489.070988432849266693,55502,2178,82646418.00,13838,24.93,23.95,14.85
20-April-2018,1486.90,1490.65,1468.80,1474.55,1477.242486434816834884,35569,1441,52544038.00,11386,32.01,21.85,-12.35
19-April-2018,1495.20,1499.00,1482.00,1486.65,1489.949747561184323121,46744,1678,69646211.00,16176,34.61,17.00,-8.55
18-April-2018,1499.85,1508.00,1487.00,1492.85,1498.361073286547257428,57282,2866,85829119.00,19432,33.92,21.00,-7.00
17-April-2018,1490.00,1516.70,1481.90,1506.50,1498.353820553423333959,111777,4094,167481495.00,25014,22.38,34.80,16.50
16-April-2018,1469.00,1486.00,1460.00,1481.20,1477.039913215144348234,51161,1962,75566839.00,12202,23.85,26.00,12.20
13-April-2018,1471.00,1488.05,1465.25,1468.90,1477.463993890798014509,52380,2149,77389564.00,11485,21.93,22.80,-2.10
12-April-2018,1500.00,1500.00,1456.30,1470.10,1473.620650473886133650,74807,3539,110237140.00,17973,24.03,43.70,-29.90
11-April-2018,1499.50,1515.00,1468.00,1472.90,1487.519629120976866314,140531,5356,209042621.00,42304,30.10,47.00,-26.60
10-April-2018,1445.25,1494.80,1445.25,1488.65,1475.760102728076739914,176388,6975,260306373.00,30965,17.56,49.55,43.40
9-April-2018,1414.00,1442.40,1414.00,1438.65,1431.141975363781722034,111949,4549,160214913.00,27210,24.31,28.40,24.65
6-April-2018,1399.95,1429.90,1385.65,1421.25,1409.749068573968561845,123735,4569,174435301.00,26737,21.61,44.25,21.30
5-April-2018,1377.00,1407.00,1370.40,1400.30,1395.655069810025177386,157284,7061,219514212.00,36539,23.23,36.60,23.30
4-April-2018,1366.00,1384.85,1351.00,1357.85,1368.593095415579575102,107320,3863,146877411.00,22402,20.87,33.85,-8.15
3-April-2018,1340.00,1371.65,1336.20,1364.35,1358.247833392873681842,75579,2984,102655013.00,13988,18.51,35.45,24.35
2-April-2018,1327.00,1393.00,1327.00,1356.45,1363.588055774082413259,147452,6171,201063786.00,36066,24.46,66.00,29.45
28-March-2018,1347.00,1350.00,1313.00,1327.00,1332.673456854844749337,66763,2523,88973278.00,17792,26.65,37.00,-20.00
27-March-2018,1344.00,1364.95,1344.00,1350.55,1354.233147796301747437,74738,2814,101212677.00,22398,29.97,20.95,6.55
26-March-2018,1282.00,1350.15,1276.00,1339.25,1315.023390683633601740,155361,5737,204303349.00,37070,23.86,74.15,57.25
23-March-2018,1304.00,1304.00,1275.00,1281.00,1286.704281098546042003,86660,3723,111505793.00,34858,40.22,29.00,-23.00
22-March-2018,1339.00,1345.00,1311.05,1318.45,1325.642459003150496809,86653,2751,114870896.00,29631,34.20,33.95,-20.55
21-March-2018,1346.05,1355.00,1330.85,1337.85,1345.310354857475276323,110016,2400,148005664.00,63082,57.34,24.15,-8.20
20-March-2018,1338.00,1354.05,1285.95,1348.75,1330.271867451644190198,161873,5874,215335098.00,34568,21.36,68.10,10.75
19-March-2018,1378.00,1385.00,1327.00,1343.30,1350.389290237672381464,141329,4935,190849168.00,43673,30.90,58.00,-34.70
16-March-2018,1362.75,1375.00,1349.25,1368.30,1362.929521032563260811,98086,3495,133684305.00,16646,16.97,25.75,5.55
15-March-2018,1344.30,1364.90,1336.00,1356.95,1355.815207038867975871,88196,2939,119577478.00,13926,15.79,28.90,12.65
14-March-2018,1330.00,1363.60,1326.45,1344.30,1348.536963046698370624,102616,3942,138381469.00,20420,19.90,37.15,14.30
13-March-2018,1311.00,1343.45,1311.00,1337.75,1329.609311594726125319,69247,2686,92071456.00,18233,26.33,32.45,26.75
12-March-2018,1319.00,1337.00,1308.00,1314.90,1322.093778882047219521,83313,3238,110147599.00,21799,26.17,29.00,-4.10
9-March-2018,1303.50,1328.80,1282.50,1304.15,1308.010398948901540999,98183,4093,128424385.00,14907,15.18,46.30,0.65
8-March-2018,1310.00,1330.20,1272.00,1289.55,1294.781424012504477514,122836,5635,159045771.00,18863,15.36,58.20,-20.45
7-March-2018,1328.80,1334.10,1289.85,1298.75,1314.903918279248186179,93587,4646,123057913.00,21320,22.78,44.25,-30.05
6-March-2018,1326.00,1365.90,1313.00,1326.05,1344.600786873166046028,151994,6449,204371252.00,23198,15.26,52.90,0.05
5-March-2018,1313.00,1340.30,1289.50,1317.85,1313.095464754324441467,126895,5710,166625249.00,19890,15.67,50.80,4.85
1-March-2018,1348.00,1366.40,1304.50,1313.10,1327.914804157020561529,138657,6947,184124683.00,39550,28.52,61.90,-34.90
28-February-2018,1351.00,1387.00,1331.40,1347.45,1362.333523759863199625,260818,11896,355321105.00,43830,16.80,55.60,-3.55
27-February-2018,1291.00,1364.95,1285.20,1353.95,1335.119636502434755117,259369,9755,346288645.00,46936,18.10,79.75,62.95
26-February-2018,1310.00,1326.75,1286.05,1289.75,1309.886212562296747274,146677,5189,192130180.00,46563,31.75,40.70,-20.25
23-February-2018,1249.95,1306.00,1249.95,1300.20,1286.602234365294419488,222166,8574,285839272.00,58401,26.29,56.05,50.25
22-February-2018,1247.00,1255.65,1225.00,1238.95,1240.310162620676726965,85352,3301,105862953.00,19808,23.21,30.65,-8.05
