Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
1-August-2018,552.45,555.55,538.65,544.90,544.770616107294258541,440881,5167,240179014.00,68841,15.61,16.90,-7.55
31-July-2018,582.00,584.95,548.00,550.10,563.613281730724346161,942588,10758,531255116.00,163393,17.33,36.95,-31.90
30-July-2018,555.00,570.00,551.10,568.45,562.377425932164323327,564010,6402,317186492.00,73509,13.03,18.90,13.45
27-July-2018,545.00,555.00,538.00,553.65,550.710733407928684378,540695,5180,297766540.00,140214,25.93,17.00,8.65
26-July-2018,537.00,543.90,527.00,541.65,534.480422889709793398,547093,4140,292410498.00,234043,42.78,16.90,4.65
25-July-2018,547.00,547.50,529.45,531.85,539.429076064546279242,145508,2937,78491246.00,33966,23.34,18.05,-15.15
24-July-2018,542.95,549.00,538.45,546.00,543.471119292192565801,216217,3070,117507695.00,23552,10.89,10.55,3.05
23-July-2018,534.50,544.95,531.05,540.80,538.887848366438208749,209083,2566,112672288.00,40849,19.54,13.90,6.30
20-July-2018,527.60,536.45,524.95,534.45,532.507367440317032858,156703,2045,83445502.00,25149,16.05,11.50,6.85
19-July-2018,528.00,536.90,518.85,527.30,529.707390588748537547,201716,2706,106850456.00,15760,7.81,18.05,-0.70
18-July-2018,542.35,542.80,515.85,524.20,525.891793595570332278,557333,2779,293096851.00,379393,68.07,26.95,-18.15
17-July-2018,523.00,540.00,519.80,538.05,530.360141204268006825,213308,2504,113130061.00,22509,10.55,20.20,15.05
16-July-2018,524.00,529.75,518.55,523.10,523.793050964475501066,191192,2594,100145041.00,48056,25.13,11.20,-0.90
13-July-2018,540.00,540.80,520.50,523.90,527.392760568770852573,240378,2826,126773617.00,31313,13.03,20.30,-16.10
12-July-2018,539.45,545.00,535.25,537.25,540.984059119329102305,254942,3777,137919558.00,32767,12.85,9.75,-2.20
11-July-2018,533.40,541.75,531.00,536.60,537.419356285746327240,267510,5407,143765052.00,41187,15.40,10.75,3.20
10-July-2018,530.00,534.90,522.10,532.55,531.332675957360466382,404132,4770,214728537.00,117714,29.13,12.80,2.55
9-July-2018,514.20,528.50,514.20,523.65,524.693211629772564664,322861,3725,169402975.00,77209,23.91,14.30,9.45
6-July-2018,510.05,516.50,510.05,514.25,514.422514797944121014,82106,1268,42237175.00,13090,15.94,6.45,4.20
5-July-2018,515.55,517.50,509.40,510.90,512.320181486967328940,117474,1476,60184301.00,16076,13.68,8.10,-4.65
4-July-2018,512.00,515.95,507.95,514.30,512.247821404092822872,173621,1753,88936979.00,37706,21.72,8.00,2.30
3-July-2018,512.60,520.00,509.70,512.00,515.600750408124611041,332619,3283,171498606.00,64598,19.42,10.30,-0.60
2-July-2018,511.00,514.95,503.50,512.60,508.523707316327972532,261839,2263,133151339.00,49472,18.89,11.45,1.60
29-June-2018,506.35,514.30,499.05,510.40,506.658284608621874484,260477,3181,131972830.00,25134,9.65,15.25,4.05
28-June-2018,510.00,514.60,500.45,504.95,508.404696208957174233,198969,2698,101156774.00,47938,24.09,14.15,-5.05
27-June-2018,516.60,516.60,502.05,507.60,507.944616487201493527,226042,2826,114816817.00,24279,10.74,14.55,-9.00
26-June-2018,520.00,520.00,511.95,514.05,515.067190032414910858,197440,2366,101694866.00,39166,19.84,8.05,-5.95
25-June-2018,524.65,524.65,513.00,515.15,518.830855675531416123,277278,2648,143860382.00,90611,32.68,11.65,-9.50
22-June-2018,515.45,526.00,510.55,524.65,518.961274073249471223,215592,2520,111883899.00,29463,13.67,15.45,9.20
21-June-2018,523.95,523.95,511.80,513.25,515.841387408071372783,190773,2217,98408609.00,29004,15.20,12.15,-10.70
20-June-2018,521.90,527.20,517.50,519.15,522.243052844440740269,227971,2942,119056271.00,40666,17.84,9.70,-2.75
19-June-2018,525.00,525.00,514.40,516.75,518.346651933701657458,203625,2882,105548337.00,30427,14.94,10.60,-8.25
18-June-2018,529.00,531.10,521.00,522.05,524.203538662680707432,266937,2671,139929320.00,86060,32.24,10.10,-6.95
15-June-2018,528.70,534.65,516.35,528.00,524.874066663413205797,450802,5876,236614279.00,71043,15.76,18.30,-0.70
14-June-2018,543.45,543.45,530.20,531.75,533.126630703950098384,373535,3248,199141456.00,140998,37.75,13.25,-11.70
13-June-2018,538.25,551.85,537.15,539.75,544.532546015657237840,860305,9296,468464072.00,442018,51.38,14.70,1.50
12-June-2018,541.00,546.55,535.75,536.80,538.417626076833527357,536875,2389,289062963.00,352089,65.58,10.80,-4.20
11-June-2018,539.95,544.80,531.05,540.10,538.153072725010221677,843795,3186,454090872.00,564402,66.89,13.75,0.15
8-June-2018,542.00,542.00,535.30,536.45,537.724579129516658845,136384,1333,73337029.00,28938,21.22,6.70,-5.55
7-June-2018,533.00,549.90,532.50,542.15,545.523511970988170342,1163939,4979,634956091.00,739482,63.53,17.40,9.15
6-June-2018,530.00,533.65,525.30,530.20,529.636884176858468788,3186548,3698,1687713354.00,2906193,91.20,8.35,0.20
5-June-2018,536.00,536.55,523.70,529.80,530.101743806172773779,206617,1626,109528032.00,65975,31.93,12.85,-6.20
4-June-2018,540.00,542.00,531.55,536.05,535.124357203320897888,362673,2533,194075156.00,120140,33.13,10.45,-3.95
1-June-2018,545.00,545.00,532.75,537.15,538.651808960569254149,169766,1903,91444763.00,28800,16.96,12.25,-7.85
31-May-2018,543.00,551.60,532.45,543.30,539.638760277433282807,435420,3254,234969509.00,120301,27.63,19.15,0.30
30-May-2018,545.00,545.00,535.35,539.90,540.727540234729241062,265753,2540,143699966.00,82672,31.11,9.65,-5.10
29-May-2018,546.50,549.70,542.65,545.90,546.596495227449884546,135986,1757,74329471.00,15874,11.67,7.05,-0.60
28-May-2018,542.25,547.75,541.50,546.45,545.146147488064347661,243179,2331,132568095.00,56649,23.30,6.25,4.20
25-May-2018,535.00,544.50,532.50,538.45,536.744956817752001512,126904,1649,68115082.00,17770,14.00,12.00,3.45
24-May-2018,521.40,537.00,521.40,534.45,529.260759931221526953,225652,3063,119428749.00,37389,16.57,15.60,13.05
23-May-2018,522.00,528.30,519.45,520.35,523.203455004181169726,139913,1884,73202965.00,15645,11.18,8.85,-1.65
22-May-2018,528.90,533.15,521.45,523.30,527.169157948942233759,141761,2033,74732027.00,19047,13.44,11.70,-5.60
21-May-2018,533.00,560.00,521.35,528.70,528.287454098305427348,296830,4175,156811565.00,85020,28.64,38.65,-4.30
18-May-2018,538.00,549.00,529.20,532.70,534.373912610295720183,160591,1799,85815641.00,14726,9.17,19.80,-5.30
17-May-2018,541.00,556.00,535.85,539.50,543.462257622884986344,1007263,2367,547409424.00,864358,85.81,20.15,-1.50
16-May-2018,547.50,552.75,540.70,549.35,547.088583775038848798,234885,2701,128502902.00,15592,6.64,12.05,1.85
15-May-2018,553.90,562.85,547.45,549.45,554.265345931535773807,292211,3335,161962431.00,30570,10.46,15.40,-4.45
14-May-2018,552.00,558.70,548.25,552.25,552.338106529732674298,249658,2604,137895627.00,54765,21.94,10.45,0.25
11-May-2018,547.00,555.40,545.10,553.20,550.382842718359269587,177872,2223,97897697.00,37300,20.97,10.30,6.20
10-May-2018,548.50,554.00,542.35,547.65,548.230811339291903818,418333,4009,229343040.00,66542,15.91,11.65,-0.85
9-May-2018,541.50,550.00,537.05,548.60,546.056691119566392923,711981,7021,388781989.00,387711,54.46,12.95,7.10
8-May-2018,535.15,546.85,533.70,541.25,541.337695024517367897,583260,7225,315740624.00,173364,29.72,13.15,6.10
7-May-2018,525.00,537.25,523.05,534.95,531.418391711407287426,286466,3104,152233301.00,36664,12.80,14.20,9.95
4-May-2018,533.05,534.95,519.10,520.30,524.853406610418763062,322975,3468,169514529.00,54890,17.00,15.85,-12.75
3-May-2018,518.00,538.30,518.00,532.40,532.111313227747753891,586570,5931,312120533.00,48393,8.25,20.30,14.40
2-May-2018,520.00,527.45,515.60,523.45,521.491436388872286308,602316,5443,314102636.00,63519,10.55,11.85,3.45
30-April-2018,535.05,535.75,514.00,518.05,520.986075405220880149,830473,9220,432664869.00,55320,6.66,21.75,-17.00
27-April-2018,479.00,555.55,479.00,538.90,525.001200315351332770,4282208,38149,2248164340.00,278908,6.51,76.55,59.90
26-April-2018,498.40,501.30,484.00,494.55,492.493219405141121564,431968,5806,212741311.00,79787,18.47,17.30,-3.85
25-April-2018,505.00,509.00,497.00,498.40,500.415546512389176225,290213,2976,145227097.00,45856,15.80,12.00,-6.60
24-April-2018,506.45,514.80,503.60,505.25,507.681333774818194081,326172,2957,165591436.00,35229,10.80,11.20,-1.20
23-April-2018,509.90,511.20,500.30,506.45,506.569772000470448550,357106,3065,180899105.00,21232,5.95,10.90,-3.45
20-April-2018,514.20,514.25,503.20,505.85,507.696804218777015733,277616,2624,140944756.00,33567,12.09,11.05,-8.35
19-April-2018,520.35,522.50,509.25,513.50,512.752981890132943429,251686,2857,129052747.00,28960,11.51,13.25,-6.85
18-April-2018,535.00,536.30,517.15,518.70,527.682820812658681246,474615,5622,250446182.00,84392,17.78,19.15,-16.30
17-April-2018,544.70,544.85,530.80,532.55,536.004573610305041191,273963,3065,146845421.00,23492,8.57,14.05,-12.15
16-April-2018,538.50,544.00,531.20,542.20,537.899613581853239485,255164,2656,137252617.00,25541,10.01,12.80,3.70
13-April-2018,551.00,555.00,536.25,541.90,546.714126099248545881,678418,6431,370900704.00,69710,10.28,18.75,-9.10
12-April-2018,535.35,550.00,534.60,548.30,544.029529725367440268,327128,4459,177967292.00,36907,11.28,15.40,12.95
11-April-2018,550.00,552.00,534.10,539.50,539.834916304884201888,541071,5536,292089018.00,41573,7.68,17.90,-10.50
10-April-2018,523.10,549.50,522.50,546.00,539.401711056765351517,1198090,14145,646251796.00,117216,9.78,27.00,22.90
9-April-2018,502.80,521.00,502.35,517.90,514.300757548329112899,469541,5887,241485292.00,41239,8.78,18.65,15.10
6-April-2018,505.00,505.00,495.50,500.70,498.948894167569936117,173444,2017,86539692.00,16607,9.57,9.50,-4.30
5-April-2018,499.45,504.35,492.60,503.15,499.528251741912622119,242693,2813,121232010.00,28118,11.59,11.75,3.70
4-April-2018,502.00,504.00,477.50,490.15,495.960401931065454137,356280,4041,176700772.00,53842,15.11,26.50,-11.85
3-April-2018,493.10,505.65,493.10,503.30,500.290719818607274697,358118,4463,179163112.00,83932,23.44,12.55,10.20
2-April-2018,509.40,509.40,492.50,498.20,499.253934985114760395,416520,4311,207949249.00,41483,9.96,16.90,-11.20
28-March-2018,511.25,512.15,501.55,509.40,506.680039548793079935,205316,2780,104029519.00,26925,13.11,10.60,-1.85
27-March-2018,509.80,522.00,509.00,511.25,515.224853452102177938,261348,3003,134652985.00,40343,15.44,13.00,1.45
26-March-2018,500.00,509.25,495.35,507.50,502.537234013359019533,364398,3726,183123563.00,113278,31.09,13.90,7.50
23-March-2018,511.00,511.00,496.55,501.00,505.552510384644557375,1120645,5095,566544893.00,763074,68.09,14.45,-10.00
22-March-2018,524.90,525.35,517.00,518.30,521.135824850863770430,180372,1989,93998311.00,52855,29.30,8.35,-6.60
21-March-2018,520.60,532.00,516.00,525.35,528.346087451389547567,158145,2370,83555292.00,38726,24.49,16.00,4.75
20-March-2018,513.40,524.95,500.00,520.90,517.733552815653503945,214444,2964,111024854.00,32808,15.30,24.95,7.50
19-March-2018,521.15,530.00,517.20,520.25,521.924180146454362645,237207,2040,123804069.00,78845,33.24,12.80,-0.90
16-March-2018,532.90,533.00,520.80,523.45,527.627688460615551710,237543,2036,125334264.00,67892,28.58,12.20,-9.45
15-March-2018,531.10,539.00,528.00,528.95,534.103626776007589590,713609,2480,381141155.00,395899,55.48,11.00,-2.15
