Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
1-August-2018,168.90,171.00,167.10,169.15,169.965498357064622124,3652,62,620714.00,1846,50.55,3.90,0.25
31-July-2018,169.90,169.90,166.00,167.25,167.261054874800213106,1877,40,313949.00,1207,64.30,3.90,-2.65
30-July-2018,172.00,175.00,167.20,168.80,170.549335595137121854,7074,157,1206466.00,2011,28.43,7.80,-3.20
27-July-2018,159.30,171.20,159.30,169.80,167.175468851045483940,4639,121,775527.00,2337,50.38,11.90,10.50
26-July-2018,160.50,164.05,159.15,159.90,162.710987996306555863,5415,71,881080.00,3297,60.89,4.90,-0.60
25-July-2018,161.45,161.45,157.60,158.75,158.983557548579970104,669,27,106360.00,450,67.26,3.85,-2.70
24-July-2018,154.00,163.90,154.00,162.25,160.540978039393253339,8834,169,1418219.00,4819,54.55,9.90,8.25
23-July-2018,144.05,149.45,141.00,148.05,145.851002865329512893,2443,81,356314.00,1752,71.72,8.45,4.00
20-July-2018,141.95,146.40,141.95,142.40,142.766378589350432115,3587,60,512103.00,3174,88.49,4.45,0.45
19-July-2018,150.25,152.05,141.10,143.90,145.045502170333782367,6681,124,969049.00,3054,45.71,10.95,-6.35
18-July-2018,155.95,157.05,150.95,153.50,153.234200743494423791,1076,33,164880.00,757,70.35,6.10,-2.45
17-July-2018,156.65,156.65,153.05,155.30,154.741935483870967741,4371,73,676377.00,2205,50.45,3.60,-1.35
16-July-2018,159.00,161.50,151.45,152.30,155.122528032619775739,4905,108,760876.00,3059,62.36,10.05,-6.70
13-July-2018,170.00,170.35,162.10,162.30,164.790837744113889395,5479,96,902889.00,3127,57.07,8.25,-7.70
12-July-2018,166.50,172.70,166.50,168.00,168.605680084497124750,8521,125,1436689.00,6410,75.23,6.20,1.50
11-July-2018,165.00,169.00,164.15,166.75,166.340366791559850128,5071,108,843512.00,1586,31.28,4.85,1.75
10-July-2018,162.00,170.00,162.00,165.85,167.611476389719067543,8365,206,1402070.00,4640,55.47,8.00,3.85
9-July-2018,157.70,164.95,154.25,163.00,161.611552593352131931,11703,206,1891340.00,5010,42.81,10.70,5.30
6-July-2018,151.00,156.45,148.00,152.55,150.990224191866527632,7672,138,1158397.00,3671,47.85,8.45,1.55
5-July-2018,145.00,146.15,137.05,145.45,141.256444444444444444,6750,125,953481.00,2181,32.31,9.10,0.45
4-July-2018,141.10,146.80,135.90,143.95,140.909896710863672990,13651,247,1923561.00,5407,39.61,10.90,2.85
3-July-2018,152.95,152.95,143.45,144.95,145.923675805163694437,15028,218,2192941.00,12388,82.43,9.50,-8.00
2-July-2018,159.00,159.20,148.55,151.65,154.180244966131576505,21554,343,3323201.00,9426,43.73,10.65,-7.35
29-June-2018,158.05,167.50,158.05,164.85,165.661769612433136374,92913,152,15392132.00,90073,96.94,9.45,6.80
28-June-2018,159.30,161.30,154.80,157.60,157.752032412679077403,226578,73,35743140.00,226071,99.78,6.50,-1.70
27-June-2018,164.55,169.95,157.50,163.00,164.435101666411863629,228935,107,37644950.00,226857,99.09,12.45,-1.55
26-June-2018,162.00,170.00,162.00,164.55,165.318132992279753294,537159,617,88802123.00,450382,83.85,8.00,2.55
25-June-2018,177.05,177.10,164.00,165.00,167.419062027231467473,1983,73,331992.00,1687,85.07,13.10,-12.05
22-June-2018,170.20,171.00,169.10,170.60,170.633975481611208406,1142,30,194864.00,930,81.44,1.90,0.40
21-June-2018,171.00,172.90,169.50,169.80,170.598214285714285714,5712,88,974457.00,3436,60.15,3.40,-1.20
20-June-2018,175.75,175.75,169.50,170.10,170.536000000000000000,2000,33,341072.00,1201,60.05,6.25,-5.65
19-June-2018,170.70,174.80,170.20,172.80,172.421289096250216001,5787,79,997802.00,2055,35.51,4.60,2.10
18-June-2018,176.90,176.90,170.20,170.70,171.892744479495268138,634,28,108980.00,388,61.20,6.70,-6.20
15-June-2018,175.00,175.90,172.00,172.95,173.098352713178294573,12384,194,2143650.00,2164,17.47,3.90,-2.05
14-June-2018,179.75,179.90,173.30,175.00,176.420155691142436355,4753,114,838525.00,2651,55.78,6.60,-4.75
13-June-2018,182.80,186.30,177.65,180.00,182.447890818858560794,6448,162,1176424.00,4762,73.85,8.65,-2.80
12-June-2018,189.60,190.00,184.10,184.45,185.814456459874786568,1757,41,326476.00,969,55.15,5.90,-5.15
11-June-2018,188.00,190.55,184.25,185.20,187.336255656108597285,3536,89,662421.00,1503,42.51,6.30,-2.80
8-June-2018,188.05,188.05,182.20,185.50,185.217468019408910454,2267,45,419888.00,1795,79.18,5.85,-2.55
7-June-2018,187.00,192.65,186.65,188.15,189.705990541250656857,7612,105,1444042.00,3637,47.78,6.00,1.15
6-June-2018,183.10,192.90,183.10,184.95,187.266982182628062360,3592,95,672663.00,990,27.56,9.80,1.85
5-June-2018,187.00,187.95,180.00,180.50,181.314448601460894352,5613,97,1017718.00,4430,78.92,7.95,-6.50
4-June-2018,199.00,199.95,185.05,187.35,189.007815043959622272,6142,144,1160886.00,3367,54.82,14.90,-11.65
1-June-2018,200.00,204.50,190.15,192.55,196.683946488294314381,5980,218,1176170.00,3301,55.20,14.35,-7.45
31-May-2018,209.00,210.30,198.00,201.00,206.664457608293224731,297110,246,61402077.00,284354,95.71,12.30,-8.00
30-May-2018,206.80,213.70,206.80,209.75,209.673233517205148410,3807,58,798226.00,2359,61.96,6.90,2.95
29-May-2018,217.45,217.45,213.20,214.05,214.830307262569832402,1432,38,307637.00,740,51.68,4.25,-3.40
28-May-2018,212.05,215.40,211.30,214.75,214.309894212818917237,1607,41,344396.00,1151,71.62,4.10,2.70
25-May-2018,204.10,209.95,204.10,206.35,207.219943019943019943,1755,34,363671.00,794,45.24,5.85,2.25
24-May-2018,210.00,210.00,200.00,205.35,202.792710706150341685,8341,160,1691494.00,4301,51.56,10.00,-4.65
23-May-2018,206.45,209.25,204.25,205.30,206.033798677443056576,1361,24,280412.00,848,62.31,5.00,-1.15
22-May-2018,207.50,211.90,205.00,205.55,207.402038132807363576,3042,42,630917.00,2191,72.02,6.90,-1.95
21-May-2018,220.30,221.50,205.10,206.80,211.370981387478849407,4728,137,999362.00,2621,55.44,16.40,-13.50
18-May-2018,221.90,224.65,213.25,215.30,217.789148654609616232,4534,96,987456.00,1987,43.82,11.40,-6.60
17-May-2018,225.00,228.70,218.05,219.85,223.230228869249943349,4413,121,985115.00,1601,36.28,10.65,-5.15
16-May-2018,215.55,224.40,215.00,221.25,215.614591389533384893,62064,88,13381904.00,61072,98.40,9.40,5.70
15-May-2018,226.00,226.00,214.20,214.60,217.868421052631578947,1710,56,372555.00,980,57.31,11.80,-11.40
14-May-2018,224.70,225.00,216.50,217.95,220.201229737283398546,10734,175,2363640.00,7971,74.26,8.50,-6.75
