Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
1-August-2018,95.95,96.70,93.15,93.75,94.894110228513345631,106252,1303,10082689.00,54240,51.05,3.55,-2.20
31-July-2018,97.00,98.80,94.70,95.55,96.780659643508023291,899880,3214,87090980.00,633229,70.37,4.10,-1.45
30-July-2018,94.65,96.55,93.70,95.45,95.165959079538772784,200682,2464,19098095.00,86103,42.91,2.85,0.80
27-July-2018,97.20,97.60,93.90,95.00,94.967370421844342707,97856,1886,9293127.00,41831,42.75,3.70,-2.20
26-July-2018,98.40,100.90,95.80,96.45,98.401987791772811328,366638,3126,36077908.00,70494,19.23,5.10,-1.95
25-July-2018,96.50,101.95,96.00,97.80,99.300205752496892279,186632,2067,18532596.00,51230,27.45,5.95,1.30
24-July-2018,92.00,97.45,91.65,96.90,95.424191997324079106,119585,2537,11411302.00,46929,39.24,5.80,4.90
23-July-2018,91.05,92.45,90.30,91.20,91.313177334453930198,22607,259,2064317.00,9938,43.96,2.15,0.15
20-July-2018,89.65,91.50,88.70,90.80,90.804963410754056633,28287,314,2568600.00,9440,33.37,2.80,1.15
19-July-2018,90.00,91.45,88.40,90.15,89.850200297878896820,77884,1177,6997893.00,25303,32.49,3.05,0.15
18-July-2018,95.40,95.50,88.50,89.85,90.319380755206723935,161810,1649,14614579.00,76409,47.22,7.00,-5.55
17-July-2018,95.00,95.85,91.65,94.15,94.071707438634381359,48154,470,4529929.00,12566,26.10,4.20,-0.85
16-July-2018,97.55,97.55,93.50,94.45,94.775673400673400673,21384,280,2026683.00,10763,50.33,4.05,-3.10
13-July-2018,99.85,100.30,96.70,97.45,98.413547376664056382,25540,332,2513482.00,8993,35.21,3.60,-2.40
12-July-2018,101.45,102.40,98.60,99.65,100.770041444641799881,42225,436,4255015.00,14071,33.32,3.80,-1.80
11-July-2018,101.00,103.60,100.50,100.95,101.729118367453861972,76347,741,7766713.00,21541,28.21,3.10,-0.05
10-July-2018,97.00,102.65,96.10,101.40,100.634032200501656269,198941,1744,20020235.00,44932,22.59,6.55,4.40
9-July-2018,91.55,96.50,89.00,95.85,94.422052813061152545,90773,1027,8570973.00,35100,38.67,7.50,4.30
6-July-2018,88.05,92.25,88.05,91.55,91.004229493669186460,74477,796,6777722.00,25275,33.94,4.20,3.50
5-July-2018,92.10,92.30,88.00,88.40,89.681606631910331523,139447,2567,12505831.00,66141,47.43,4.30,-3.70
4-July-2018,94.00,94.90,91.10,92.10,92.936545776568793764,267626,2863,24872236.00,203531,76.05,3.80,-1.90
3-July-2018,93.50,95.40,92.70,94.70,94.296376198148502143,36619,767,3453039.00,9818,26.81,2.70,1.20
2-July-2018,96.45,97.45,92.40,93.55,94.069877876087350006,93921,842,8835137.00,30460,32.43,5.05,-2.90
29-June-2018,94.25,98.35,94.25,96.45,96.996694106314038006,45676,557,4430421.00,10978,24.03,4.10,2.20
28-June-2018,95.45,97.30,94.15,95.85,95.991191762152339609,79244,1273,7606726.00,43825,55.30,3.15,0.40
27-June-2018,97.85,97.85,94.10,95.40,95.837676351220769181,62092,1254,5950753.00,32185,51.83,3.75,-2.45
26-June-2018,96.00,98.50,95.70,98.15,97.342188233715704031,44721,701,4353240.00,12980,29.02,2.80,2.15
25-June-2018,95.55,98.35,95.55,96.65,96.806136419046904596,53321,554,5161800.00,18119,33.98,2.80,1.10
22-June-2018,95.35,98.45,95.35,96.25,96.459700018986140117,131675,1460,12701331.00,47183,35.83,3.10,0.90
21-June-2018,98.70,99.45,95.05,95.25,98.186448226859339585,529879,744,52026937.00,461669,87.13,4.40,-3.45
20-June-2018,96.25,99.00,96.00,98.45,97.589391312080387710,67473,598,6584649.00,23022,34.12,3.00,2.20
19-June-2018,99.10,99.15,95.55,96.00,97.080124469030919687,101230,1040,9827421.00,43144,42.62,3.60,-3.10
18-June-2018,101.00,101.15,99.40,99.60,99.991559613893071062,460287,1659,46024815.00,397379,86.33,1.75,-1.40
15-June-2018,102.85,103.00,99.50,100.60,100.912876700936619645,96197,842,9707516.00,34707,36.08,3.50,-2.25
