Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
1-August-2018,576.90,576.90,565.10,569.05,570.445461012043464396,40769,802,23256491.00,15360,37.68,11.80,-7.85
31-July-2018,561.50,575.90,561.00,574.45,571.709893024798003594,114606,1580,65521384.00,40235,35.11,14.90,12.95
30-July-2018,570.00,570.00,559.95,563.05,563.611469201638457376,64695,1309,36462844.00,19535,30.20,10.05,-6.95
27-July-2018,568.10,575.00,565.60,570.00,570.083589301768055139,53392,729,30437903.00,16444,30.80,9.40,1.90
26-July-2018,571.95,573.15,566.45,568.10,569.776662503661902338,64857,1895,36954005.00,13270,20.46,6.70,-3.85
25-July-2018,571.95,579.50,567.00,569.70,573.227140032745358499,129484,7747,74223743.00,43894,33.90,12.50,-2.25
24-July-2018,572.00,576.25,567.00,570.40,571.500432764182862538,50836,1180,29052796.00,11296,22.22,9.25,-1.60
23-July-2018,582.00,584.15,566.85,569.60,572.334144428811956546,86714,2893,49629383.00,20422,23.55,17.30,-12.40
20-July-2018,557.10,584.55,557.05,576.80,572.241819425389879726,250013,6436,143067894.00,64491,25.80,27.50,19.70
19-July-2018,568.40,568.40,547.90,555.90,556.470390010421181743,2168660,16150,1206795076.00,1244692,57.39,20.50,-12.50
18-July-2018,568.00,569.50,547.20,564.95,564.326091609807211280,490537,2827,276822828.00,378221,77.10,22.30,-3.05
17-July-2018,550.05,564.40,550.05,557.60,556.143080843663691290,2576145,5482,1432705217.00,2060170,79.97,14.35,7.55
16-July-2018,572.05,572.05,548.00,549.95,557.090014246859215127,61768,1052,34410336.00,14191,22.97,24.05,-22.10
13-July-2018,580.70,580.70,566.55,570.45,571.518247492139541847,53432,836,30537363.00,12817,23.99,14.15,-10.25
12-July-2018,583.10,589.05,573.10,575.95,581.281420225226496570,106293,1794,61786146.00,15869,14.93,15.95,-7.15
11-July-2018,583.95,585.60,575.55,578.85,577.695629677568177158,624256,2501,360629963.00,525186,84.13,10.05,-5.10
10-July-2018,586.00,590.50,575.00,579.90,582.201430293420488467,370833,4929,215899503.00,144606,38.99,15.50,-6.10
9-July-2018,566.20,581.00,565.75,578.50,574.572925969447708578,106375,2067,61120195.00,41277,38.80,15.25,12.30
6-July-2018,564.00,568.40,560.35,562.80,564.581307985656554157,35138,724,19838258.00,8386,23.87,8.05,-1.20
5-July-2018,572.00,574.20,561.00,563.75,567.223680052756673581,72787,1331,41286510.00,19649,27.00,13.20,-8.25
4-July-2018,567.00,575.50,563.40,569.70,571.460731511529779833,145753,2460,83292116.00,40434,27.74,12.10,2.70
3-July-2018,551.00,568.00,548.65,564.50,561.767346839703550276,123596,4319,69432197.00,45318,36.67,19.35,13.50
2-July-2018,553.30,555.50,546.40,550.55,550.892168640237972656,52443,1346,28890438.00,19209,36.63,9.10,-2.75
29-June-2018,544.00,554.90,544.00,552.60,551.426660044988460751,68462,1337,37751772.00,16800,24.54,10.90,8.60
28-June-2018,545.05,549.00,537.80,543.05,543.985631696138830366,100151,1452,54480705.00,15705,15.68,11.20,-2.00
27-June-2018,557.10,571.50,540.00,544.70,557.932322394627042682,232721,4407,129842568.00,60551,26.02,31.50,-12.40
26-June-2018,560.00,564.50,556.30,558.85,559.564900163255054627,79630,1424,44558153.00,18187,22.84,8.20,-1.15
25-June-2018,554.70,567.00,551.15,558.75,561.063118903751651647,134714,2389,75583057.00,35716,26.51,15.85,4.05
22-June-2018,540.00,555.50,534.65,553.85,547.208745684695051783,69520,1429,38041952.00,22426,32.26,20.85,13.85
21-June-2018,544.90,554.35,537.00,539.60,546.036855450053038731,77302,1286,42209741.00,22694,29.36,17.35,-5.30
20-June-2018,541.50,549.75,541.05,544.35,545.990559286579324011,36332,628,19836929.00,10612,29.21,8.70,2.85
19-June-2018,550.00,550.00,538.80,541.75,544.151431956766754327,34603,754,18829272.00,9368,27.07,11.20,-8.25
18-June-2018,560.00,561.60,550.25,552.25,553.898548870063726870,39073,811,21642478.00,13175,33.72,11.35,-7.75
15-June-2018,559.45,564.90,557.55,559.75,560.938720603097429734,73222,1304,41073055.00,22203,30.32,7.35,0.30
14-June-2018,555.15,564.60,553.90,558.65,558.740495890676756337,72153,1350,40314803.00,16865,23.37,10.70,3.50
13-June-2018,550.00,570.20,549.85,558.65,563.424911134950447435,297361,5497,167540595.00,90347,30.38,20.35,8.65
12-June-2018,541.25,549.25,535.85,548.45,545.255614591593973037,126100,2545,68756733.00,68029,53.95,13.40,7.20
11-June-2018,535.00,548.55,533.45,541.95,541.627276034387026364,208916,3294,113154604.00,62174,29.76,15.10,6.95
8-June-2018,527.50,536.60,522.00,532.20,529.935070676026986348,95011,1424,50349661.00,46632,49.08,14.60,4.70
7-June-2018,521.00,530.25,518.80,526.50,524.446693497833216741,110071,1530,57726372.00,49853,45.29,11.45,5.50
6-June-2018,506.10,519.90,506.10,518.45,514.422750724432822107,56596,726,29114270.00,35449,62.64,13.80,12.35
5-June-2018,510.10,518.65,508.80,513.75,512.089291658960606621,189245,2727,96910338.00,126428,66.81,9.85,3.65
4-June-2018,508.00,512.95,502.75,507.30,508.896516983304548071,48636,823,24750691.00,17576,36.14,10.20,-0.70
1-June-2018,515.00,515.00,506.15,507.30,508.908349583407197305,33846,601,17224512.00,10111,29.87,8.85,-7.70
31-May-2018,521.00,521.50,509.55,516.85,514.479235161792697698,57790,1107,29731755.00,11969,20.71,11.95,-4.15
30-May-2018,523.00,524.85,516.00,520.95,519.979129767386940606,33876,644,17614813.00,7532,22.23,8.85,-2.05
29-May-2018,525.50,528.00,521.80,526.05,525.366340560549973558,60512,999,31790968.00,19427,32.10,6.20,0.55
28-May-2018,517.00,525.00,514.20,521.20,520.152524978700333049,51644,865,26862757.00,18183,35.21,10.80,4.20
25-May-2018,490.00,516.90,490.00,514.55,506.171578600631672770,51609,1032,26123009.00,21775,42.19,26.90,24.55
24-May-2018,501.20,502.65,493.00,495.40,496.341930729550478997,16284,363,8082432.00,6175,37.92,9.65,-5.80
23-May-2018,498.60,502.50,496.00,498.05,499.091090036295515747,25623,533,12788211.00,11019,43.00,6.50,-0.55
22-May-2018,498.75,505.45,495.30,501.50,499.878825172964342735,30064,881,15028357.00,11146,37.07,10.15,2.75
21-May-2018,507.15,509.55,494.10,499.25,499.987046580176856289,49871,881,24934854.00,18481,37.06,15.45,-7.90
18-May-2018,511.95,513.00,502.75,509.10,507.735790373998911437,25722,494,13059980.00,7928,30.82,10.25,-2.85
17-May-2018,512.90,516.60,509.00,513.00,512.262920764198760992,23083,355,11824565.00,9103,39.44,7.60,0.10
16-May-2018,510.20,517.25,507.00,513.95,513.026060343761592679,32348,698,16595367.00,12236,37.83,10.25,3.75
15-May-2018,512.15,518.90,510.20,511.95,517.263771827130189967,282733,834,146247538.00,260716,92.21,8.70,-0.20
14-May-2018,516.00,519.00,512.15,515.35,515.209453811788442138,34695,460,17875192.00,14473,41.71,6.85,-0.65
11-May-2018,520.00,520.35,516.00,518.10,517.884503691263426752,28581,463,14801657.00,11806,41.31,4.35,-1.90
10-May-2018,515.00,523.50,515.00,519.05,519.847368773283958328,44827,1281,23303198.00,18710,41.74,8.50,4.05
9-May-2018,517.10,519.35,514.00,515.00,515.751728265748915157,66830,882,34467688.00,29376,43.96,5.35,-2.10
8-May-2018,523.55,523.55,515.15,518.55,519.107180796540991855,53657,1115,27853734.00,22863,42.61,8.40,-5.00
7-May-2018,523.60,525.95,514.10,523.10,519.855096855096855096,30303,605,15753169.00,7434,24.53,11.85,-0.50
4-May-2018,522.20,528.00,519.30,521.85,524.002778415028931202,39231,638,20557153.00,12526,31.93,8.70,-0.35
3-May-2018,520.00,526.00,509.75,520.00,516.300442425595042732,76171,1741,39327121.00,33783,44.35,16.25,0.00
2-May-2018,530.90,530.90,513.05,518.20,520.643477962142292761,87327,1563,45466233.00,29512,33.79,17.85,-12.70
30-April-2018,543.00,543.00,527.00,530.95,533.436690476728678315,176956,2883,94394823.00,34337,19.40,16.00,-12.05
27-April-2018,524.50,545.00,524.50,536.20,538.064140111226237550,378328,6089,203564730.00,79668,21.06,20.50,11.70
26-April-2018,517.80,523.75,515.00,519.75,519.266688635721683457,84968,1322,44121052.00,24517,28.85,8.75,1.95
25-April-2018,506.30,524.35,506.30,520.85,519.804162989431086811,92914,2259,48297084.00,32999,35.52,18.05,14.55
24-April-2018,505.00,513.45,503.95,511.55,508.935212115620857590,205949,1676,104814698.00,156092,75.79,9.50,6.55
23-April-2018,507.25,510.00,501.00,502.40,504.784208883803183189,48065,849,24262453.00,24631,51.25,9.00,-4.85
20-April-2018,507.50,509.90,501.05,506.05,505.841406229981465506,117079,384,59223406.00,103715,88.59,8.85,-1.45
19-April-2018,511.60,512.20,507.00,508.80,508.642616379703015395,43908,706,22333480.00,21951,49.99,5.20,-2.80
18-April-2018,513.85,514.00,506.50,509.30,509.950982253013191610,21074,399,10746707.00,7442,35.31,7.50,-4.55
17-April-2018,515.00,515.15,508.55,512.55,511.965387364601088689,36374,1709,18622229.00,10677,29.35,6.60,-2.45
16-April-2018,501.60,512.60,499.30,510.10,507.885318468726944831,60995,1119,30978465.00,30387,49.82,13.30,8.50
13-April-2018,502.60,503.50,496.50,501.40,500.026538799296095190,1460993,1130,730535273.00,1402826,96.02,7.00,-1.20
12-April-2018,501.00,506.50,496.85,498.85,500.952329941081949651,37340,662,18705560.00,13405,35.90,9.65,-2.15
11-April-2018,505.10,509.15,500.50,503.75,506.323667401188251373,179255,1485,90761049.00,123843,69.09,8.65,-1.35
10-April-2018,500.00,502.50,494.60,500.85,500.677432447839470983,219275,1802,109786044.00,138803,63.30,7.90,0.85
9-April-2018,495.00,502.75,493.20,495.85,499.789128740739017667,515874,1179,257828217.00,464906,90.12,9.55,0.85
