Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
1-August-2018,14.65,15.44,14.29,14.77,14.861411239669808504,13666736,17679,203106984.00,1805511,13.21,1.15,0.12
31-July-2018,14.00,14.75,13.76,14.37,14.182120286263050134,8834392,17286,125290410.00,1461042,16.54,0.99,0.37
30-July-2018,14.15,14.15,13.67,13.84,13.855619811999483918,4115627,3281,57024563.00,683567,16.61,0.48,-0.31
27-July-2018,13.80,14.31,13.80,14.00,14.042700872308442616,5636653,18603,79153832.00,852220,15.12,0.51,0.20
26-July-2018,13.99,14.23,13.56,13.81,13.853498078507184639,6572494,17826,91052033.00,760832,11.58,0.67,-0.18
25-July-2018,13.95,15.14,13.75,13.88,14.397296319063742878,11907840,21998,171440701.00,1629732,13.69,1.39,-0.07
24-July-2018,13.25,13.95,13.05,13.65,13.609699685419105734,8808863,19306,119885980.00,1313617,14.91,0.90,0.40
23-July-2018,12.81,13.31,12.54,13.23,12.933090955732632152,7796375,29271,100831227.00,1310741,16.81,0.77,0.42
20-July-2018,12.90,13.10,12.65,12.97,12.877237190423500469,5503890,24101,70874897.00,1170162,21.26,0.45,0.07
19-July-2018,13.40,13.50,12.52,12.77,12.865267808649835147,8874620,18557,114174363.00,919177,10.36,0.98,-0.63
18-July-2018,13.20,13.33,12.56,13.08,12.967380205954704037,10858407,18805,140805092.00,1160559,10.69,0.77,-0.12
17-July-2018,12.30,13.43,12.05,13.08,12.813241281036571040,9636696,16610,123477311.00,1212780,12.59,1.38,0.78
16-July-2018,13.05,13.09,11.84,12.03,12.273797938174020416,8333390,9459,102282345.00,1342559,16.11,1.25,-1.02
13-July-2018,13.55,13.69,12.84,13.00,13.150498565289470766,7395220,6843,97250830.00,1136034,15.36,0.85,-0.55
12-July-2018,13.77,13.95,13.40,13.50,13.673536412861247237,5114745,8258,69936652.00,883490,17.27,0.55,-0.27
11-July-2018,13.90,14.02,13.52,13.64,13.726304504484715976,5918435,11328,81238241.00,1076121,18.18,0.50,-0.26
10-July-2018,13.89,14.21,13.75,13.97,13.968937828667912771,5086251,3702,71049524.00,964026,18.95,0.46,0.08
9-July-2018,13.69,13.94,13.57,13.68,13.723667195158106196,5042655,13105,69203719.00,1160410,23.01,0.37,-0.01
6-July-2018,13.30,13.73,13.30,13.57,13.581410194326575990,3964872,18881,53848553.00,826810,20.85,0.43,0.27
5-July-2018,13.85,14.05,13.45,13.55,13.678387066314696138,6089525,11610,83294880.00,773507,12.70,0.60,-0.30
4-July-2018,13.60,14.08,13.55,13.64,13.752949772241103289,6688652,9213,91988695.00,1218624,18.22,0.53,0.04
3-July-2018,13.26,13.50,13.15,13.35,13.345234617112371008,3782141,10597,50473559.00,840220,22.22,0.35,0.09
2-July-2018,13.95,13.95,13.15,13.24,13.403857935946957554,6647959,17809,89108298.00,1285831,19.34,0.80,-0.71
29-June-2018,13.70,14.40,13.45,13.80,13.851674643473013583,8232827,5110,114038441.00,1191672,14.47,0.95,0.10
28-June-2018,13.10,13.90,13.00,13.35,13.483773050916392661,8593205,4788,115868826.00,1155457,13.45,0.90,0.25
27-June-2018,14.50,14.60,13.05,13.35,13.656476009155353792,10629409,5994,145160269.00,1577426,14.84,1.55,-1.15
26-June-2018,14.60,14.70,14.30,14.40,14.500665467667001076,4375870,2695,63453027.00,794946,18.17,0.40,-0.20
25-June-2018,14.95,15.15,14.45,14.65,14.820015497805316750,5958263,3524,88301550.00,1083610,18.19,0.70,-0.30
22-June-2018,14.90,15.00,14.65,14.70,14.775150102278697974,5292891,2948,78203259.00,1075161,20.31,0.35,-0.20
