Id,ABOTT_INDIA,ACC,AJANTA_PHARMA,AMBUJA_CEMENT,APPOLO_HOSPITAL_ENTERPRISE,ASHOK_LEYLAND,ASIAN_PAINTS,AUROBINDO_PHARMA,AVENUES_APARTMENT,AXIS_BANK,NCL,NESTLE_INDIA,NIIT,NTPC,RBL_BANK,RCOM,ROYAL_ORCHID_HOTELS,BAJAJ_AUTO,BOSCH,AIRTEL
1,7682.6,1532.8,1136.85,233.5,949.4,118.75,1437.75,598.95,1668.25,544.9,169.15,10805.25,93.75,155.35,569.05,14.77,161.6,2685.65,18843.75,383.65
2,7618.65,1527.15,1135.7,230.05,953.15,112.8,1448.3,592.45,1652.75,550.1,167.25,10537.2,95.55,155.15,574.45,14.37,161.45,2700.7,18699.7,390.7
3,7679.95,1506,1129,226.85,933,112.85,1430.8,603.05,1592.65,568.45,168.8,10127.35,95.45,155.85,563.05,13.84,166.05,2668.95,18623.05,383.15
4,7627.75,1534.05,1092.95,224.85,933.75,112.85,1433.25,591.2,1567.7,553.65,169.8,10295.8,95,154.65,570,14,161.85,2678.05,18638.95,364.45
5,7615.55,1524.65,1038.3,223.8,936.95,111.95,1432.5,584,1558.6,541.65,159.9,10318.05,96.45,153.45,568.1,13.81,161.7,2619.25,18638.85,357.6
6,7350.15,1469.15,1031.25,209.5,941.5,110.15,1450.3,585.15,1564.4,531.85,158.75,10269.55,97.8,150.95,569.7,13.88,161.15,2638.8,19021.75,351.85
7,7268.5,1473.25,1026.9,212.7,940.45,112.75,1466.7,592.95,1574,546,162.25,10298.15,96.9,157.25,570.4,13.65,160.7,2650.8,18692.3,356.4
8,7495.55,1305.35,1041.35,197.95,952.55,109,1433.7,589.1,1532.9,540.8,148.05,10415.7,91.2,158.15,569.6,13.23,157.7,2689.1,17978,357.6
9,7305.8,1292.4,1017.95,194.25,930.4,107.45,1396.9,582.05,1516.75,534.45,142.4,10351.1,90.8,155.3,576.8,12.97,145,2841.1,17565.25,345.55
10,7275.2,1274.45,970.7,193.05,955.05,105.9,1399.45,569.05,1522.7,527.3,143.9,10287.1,90.15,154.5,555.9,12.77,141.75,3112.8,17641.65,345.05
11,7179.55,1293.2,987.15,195.75,970,110.6,1391.4,576.5,1551.05,524.2,153.5,10409.25,89.85,155.1,564.95,13.08,150,3105.05,17599.1,336.8
12,7033.25,1287.85,995.2,195.65,978.2,128.5,1377.9,585.15,1562,538.05,155.3,10531.65,94.15,155.35,557.6,13.08,154.2,3095.25,17457.45,342.25
13,7076.15,1268.9,969.7,190.55,943.55,125.75,1358.6,572.3,1550.9,523.1,152.3,10210.55,94.45,155.7,549.95,12.03,154.65,3101.75,17423.55,346.2
14,7100.55,1335.95,1026.8,197.15,975.3,132.85,1368.5,602.9,1574.45,523.9,162.3,10150.8,97.45,152.7,570.45,13,161.7,3134,17640.95,358.05
15,7148.75,1349.15,1020.25,202.05,999.45,133.9,1357.25,606.4,1585.7,537.25,168,10022.8,99.65,153.9,575.95,13.5,161.65,3101.9,17462.7,361.8
16,7059.95,1360.7,1040.75,202.45,997.4,133.25,1358.3,610.2,1593.6,536.6,166.75,10166.85,100.95,152.8,578.85,13.64,164.45,3154.35,17637.6,361.9
17,7079.85,1371.5,1041.15,204.1,1008.7,133.9,1369.45,617.25,1595.7,532.55,165.85,10010.1,101.4,153.85,579.9,13.97,169.05,3089.05,17822.25,367.35
18,7152.25,1375.9,1025.9,206.4,1000.55,130.9,1364,623.15,1564.15,523.65,163,9904.6,95.85,151.1,578.5,13.68,158.05,3017.95,17962.45,361.55
19,7158,1373.45,1009.3,207.35,1010.85,132.3,1322.8,617.4,1569.4,514.25,152.55,9948.7,91.55,150.25,562.8,13.57,160.25,3023.35,17747.8,361.85
20,7193,1388.95,1003.15,207.3,1044.55,125.15,1321.85,615.95,1545.4,510.9,145.45,9964.3,88.4,152.1,563.75,13.55,158.25,2969.8,18052.85,363.45
21,7136.2,1352.65,1029.7,201.15,1078.05,127.65,1291.55,624.95,1541.7,514.3,143.95,9866.8,92.1,153,569.7,13.64,164.75,2978.2,17544.8,366.45
22,7093.85,1336.8,1028.65,200.85,1060,129.35,1291.9,627.05,1518.8,512,144.95,9771.35,94.7,155.05,564.5,13.35,161.3,2865.05,17515.35,370.2
23,7174.8,1313.75,986.95,200.3,1063.4,127.4,1293.5,602.95,1521.9,512.6,151.65,9771.8,93.55,153.6,550.55,13.24,159.5,2839.15,17453.95,367.15
24,7242,1338.3,985.2,207.45,1046.2,125.45,1264.1,606.55,1482.1,510.4,164.85,9808.55,96.45,159.45,552.6,13.8,161.1,2811.15,17488.75,381
25,7311.25,1301.5,978.25,201.4,1011.6,124.25,1267.45,602.25,1433.9,504.95,157.6,9785.55,95.85,156.05,543.05,13.35,149.7,2718.2,17281.05,376.35
26,7163.6,1310.1,990.9,205.3,1018.4,129.25,1265.25,614.65,1450.9,507.6,163,9991.8,95.4,153.3,544.7,13.35,152.3,2765.45,17236.05,374.75
27,7513.95,1359.9,1012.4,212.15,1021.5,132.65,1273.7,607.35,1468.65,514.05,164.55,10073.05,98.15,155.25,558.85,14.4,155.8,2809.75,17736.65,380.15
28,7665.6,1314.7,1040.85,206.8,1035.9,131.95,1254.05,607.7,1480.75,515.15,165,9901.05,96.65,154.75,558.75,14.65,159.6,2799.6,17947.2,373.6
29,7430.85,1293.9,1035.3,204.75,1021.75,136.5,1268.2,611.45,1494.5,524.65,170.6,9870.75,96.25,156.9,553.85,14.7,165.75,2830.75,17995.35,374.6
30,7297.95,1269.35,1042.95,197.3,1021,135.3,1254.4,608.55,1489.7,513.25,169.8,9841.7,95.25,154.95,539.6,14.9,167.4,2832.95,17968.55,368.2
31,7155.35,1274.35,1053.8,197.4,1048.3,136.9,1272.1,617.55,1485.9,519.15,170.1,9729.6,98.45,156.8,544.35,15.3,166.25,2873.3,17814.1,372.25
32,6913.75,1285.2,1066.8,200,1058.95,136.45,1268.65,609.3,1485.6,516.75,172.8,9613,96,156.2,541.75,14.6,165.6,2849.4,17931.35,371.15
33,6682,1299.45,1095.95,203.4,1051.65,138.85,1276.7,614.35,1520.55,522.05,170.7,9624,99.6,156.7,552.25,15.15,166.25,2901.9,18008.55,371.25
34,6536.1,1303.4,1104.45,204.9,1029.85,142.2,1281.05,613.45,1538.1,528,172.95,9736.45,100.6,156.05,559.75,15.45,170.9,2873.75,18145,377.55
35,6489.85,1307.1,1057.1,205.95,971.5,145.1,1285.85,609.9,1567.6,531.75,175,9754.2,102.6,158.35,558.65,15.9,177,2890.2,18271.1,376.15
36,6323.45,1331,1036.35,209.45,976.55,142.8,1282.4,584.9,1592.9,539.75,180,9827.1,103.35,160.3,558.65,16.05,178.7,2908.3,17999.75,376.1
37,6350.85,1316.85,1015.65,206.9,980.9,144.1,1284.45,594.5,1605.5,536.8,184.45,9838.7,106.5,161.2,548.45,16.1,186,2886.95,18024.75,381.05
38,6339.7,1320.4,994.1,205.9,1000.85,142.15,1284.9,575.8,1593.8,540.1,185.2,9901.35,104.8,161.6,541.95,15.65,179.3,2882,18248.3,388.75
39,6390.4,1314.7,977.65,205.6,1015.75,145.05,1277.4,571.95,1593.05,536.45,185.5,9889.4,105.5,161.55,532.2,15.8,171.8,2875.4,18420.8,376.75
40,6409.7,1314.9,927.95,205.8,973,147.85,1287.7,547.75,1554.95,542.15,188.15,9791.4,102.8,162.3,526.5,15.75,171.85,2889,18597.15,379.95
41,6422.6,1317.1,912.3,204.05,930,148.95,1263.75,541.25,1519.45,530.2,184.95,9757.25,100.4,162.35,518.45,16,159.2,2884.55,18939.7,380.35
42,6340.8,1283.5,911.05,202,937.8,146.55,1273.05,536.35,1452.45,529.8,180.5,9542.05,93.5,161.1,513.75,14.5,156.75,2844.15,17905.65,363.8
43,6518.95,1309.55,930.25,201.75,942.3,146.95,1281.8,532.65,1486.4,536.05,187.35,9810.4,96.05,161.9,507.3,15.75,169.1,2876.6,18129.65,371.85
44,6648.5,1329.6,940.7,203.4,928.1,150.8,1293.5,534.95,1531.3,537.15,192.55,9898.25,100.15,164.25,507.3,16.45,175,2893.25,18233.3,382.6
45,6661.2,1356.2,962.25,205.2,949.7,148.3,1305.6,556.5,1565.5,543.3,201,9657.75,101.2,166.95,516.85,18.7,178.8,2752.15,18276.75,373.8
46,6723.9,1306.5,984.55,206,987.15,149,1291.9,565.8,1564,539.9,209.75,9537.3,101.25,165.3,520.95,17.5,193.55,2763.1,18476.7,375.9
47,6674.25,1309.8,1015.85,208.55,1004.8,149.55,1299.15,579.5,1544.55,545.9,214.05,9518.75,99.6,165.8,526.05,15.95,195.3,2794,18545.7,378.25
48,6730.65,1324.1,1050.45,212.65,987.45,146.45,1319.5,605.1,1527.5,546.45,214.75,9669.45,98.65,167.35,521.2,15.3,207.65,2791.25,18125.15,374.2
49,6635.55,1326.25,998,211.9,993,145.15,1289.65,594,1497.45,538.45,206.35,9729.85,98.35,165.1,514.55,14.25,194.6,2759.85,17786.7,376.65
50,6660.05,1332.5,976.2,212.3,967.1,144.45,1290.2,583.9,1404.2,534.45,205.35,9657.75,98.45,165.05,495.4,14.15,191.5,2736.7,17760.2,371.45
51,6593.7,1313,985,207.1,966.3,145.35,1278.2,573.65,1358.85,520.35,205.3,9634.95,98.35,166.35,498.05,14.25,196.5,2775.8,17987.35,356.8
52,6548.65,1327.25,992.85,208.2,971.15,141.2,1286.1,580.25,1382.15,523.3,205.55,9616.05,94.5,165,501.5,14.4,195.25,2811.25,18122.45,361.9
53,6648.35,1344.9,986.8,208.05,985,134.3,1300,565.85,1347.95,528.7,206.8,9479.85,94.75,164.35,499.25,13.4,199.05,2719.9,17624.5,360.2
54,6750.25,1374.8,1023.55,211.65,1015.75,148.4,1306.95,578.1,1416.85,532.7,215.3,9688.75,100.15,166.35,509.1,15.35,210.1,2777.5,17715.65,361.95
55,6793.35,1400.15,1053.7,217,1019.5,154.4,1309.7,595.3,1495.15,539.5,219.85,9695.15,103.8,167.45,513,16.55,218.55,2819.15,17939.4,366.55
56,6766.45,1410.6,1061.05,211.35,1028.6,152.65,1320.8,602.65,1496.05,549.35,221.25,9637.6,105.95,169.6,513.95,10.55,219.3,2808.25,18165.85,375.35
